experiment_id,match,gap,egap,algo,init_method,dataset,scene,image_filename,img_res,preprocessing_method,kernel_size,kernel_spec,are_occlusions_errors,abs_error,mse,avg,eucledian,bad1,bad2,bad4,bad8,runtime
bm_30_9x3,30,-20,-1,components.matchers.NumbaPatchMatcher,maclean_et_al,Middlebury_2014,Motorcycle,benchmarking/MiddEval/MiddEval3\trainingQ\Motorcycle\disp0bm_30_9x3.png,741x497,None,9x3,None,FALSE,3391778.524,1128.188294,9.406113052,20169.70009,0.589850607,0.3618484,0.177582482,0.103474,0
bm_30_9x3,30,-20,-1,components.matchers.NumbaPatchMatcher,maclean_et_al,Middlebury_2014,Teddy,benchmarking/MiddEval/MiddEval3\trainingQ\Teddy\disp0bm_30_9x3.png,450x375,None,9x3,None,FALSE,1137054,545.6593816,6.899097153,9483.206947,0.486851686,0.306233769,0.188396476,0.114160377,0
bm_30_9x3,30,-20,-1,components.matchers.NumbaPatchMatcher,maclean_et_al,Middlebury_2014,PlaytableP,benchmarking/MiddEval/MiddEval3\trainingQ\PlaytableP\disp0bm_30_9x3.png,681x462,None,9x3,None,FALSE,2644098.922,582.8106048,8.636499677,13357.76171,0.627971544,0.41737165,0.291467693,0.204710701,0
bm_30_9x3,30,-20,-1,components.matchers.NumbaPatchMatcher,maclean_et_al,Middlebury_2014,Pipes,benchmarking/MiddEval/MiddEval3\trainingQ\Pipes\disp0bm_30_9x3.png,735x485,None,9x3,None,FALSE,6010095.451,1990.969989,17.4751701,26167.5062,0.61521217,0.435444665,0.30649973,0.237434651,0
bm_30_9x3,30,-20,-1,components.matchers.NumbaPatchMatcher,maclean_et_al,Middlebury_2014,Playtable,benchmarking/MiddEval/MiddEval3\trainingQ\Playtable\disp0bm_30_9x3.png,680x463,None,9x3,None,FALSE,4763850.379,1772.077301,15.54806827,23301.40821,0.674426802,0.515981005,0.369284747,0.267706718,0
bm_30_9x3,30,-20,-1,components.matchers.NumbaPatchMatcher,maclean_et_al,Middlebury_2014,Recycle,benchmarking/MiddEval/MiddEval3\trainingQ\Recycle\disp0bm_30_9x3.png,720x486,None,9x3,None,FALSE,3657667.463,536.4152264,10.63068374,13585.38839,0.741032996,0.580029471,0.396472199,0.245051109,0
bm_30_9x3,30,-20,-1,components.matchers.NumbaPatchMatcher,maclean_et_al,Middlebury_2014,Piano,benchmarking/MiddEval/MiddEval3\trainingQ\Piano\disp0bm_30_9x3.png,707x481,None,9x3,None,FALSE,3720952.942,612.5133665,11.56099642,14040.65088,0.719406936,0.559819048,0.437704674,0.327396894,0
bm_30_9x3,30,-20,-1,components.matchers.NumbaPatchMatcher,maclean_et_al,Middlebury_2014,Adirondack,benchmarking/MiddEval/MiddEval3\trainingQ\Adirondack\disp0bm_30_9x3.png,718x496,None,9x3,None,FALSE,6491409.68,1456.946875,18.28988578,22739.7597,0.736834987,0.593999177,0.452484799,0.341112595,0
bm_30_9x3,30,-20,-1,components.matchers.NumbaPatchMatcher,maclean_et_al,Middlebury_2014,Playroom,benchmarking/MiddEval/MiddEval3\trainingQ\Playroom\disp0bm_30_9x3.png,699x476,None,9x3,None,FALSE,5421263.77,1787.543086,17.22523503,23718.9768,0.717263796,0.601497166,0.454554409,0.316581302,0
bm_30_9x3,30,-20,-1,components.matchers.NumbaPatchMatcher,maclean_et_al,Middlebury_2014,Shelves,benchmarking/MiddEval/MiddEval3\trainingQ\Shelves\disp0bm_30_9x3.png,738x497,None,9x3,None,FALSE,5214342.618,1132.497454,15.85075196,19301.6068,0.77071421,0.634848692,0.482954114,0.318924506,0
bm_30_9x3,30,-20,-1,components.matchers.NumbaPatchMatcher,maclean_et_al,Middlebury_2014,ArtL,benchmarking/MiddEval/MiddEval3\trainingQ\ArtL\disp0bm_30_9x3.png,347x277,None,9x3,None,FALSE,2792637,3094.627302,29.10543101,17231.55231,0.618349331,0.565123138,0.483600663,0.434251529,0
bm_30_9x3,30,-20,-1,components.matchers.NumbaPatchMatcher,maclean_et_al,Middlebury_2014,Jadeplant,benchmarking/MiddEval/MiddEval3\trainingQ\Jadeplant\disp0bm_30_9x3.png,659x497,None,9x3,None,FALSE,27767836.17,20307.7716,85.97731711,80986.04861,0.71001062,0.674805785,0.637492375,0.609758892,0
bm_30_9x3,30,-20,-1,components.matchers.NumbaPatchMatcher,maclean_et_al,Middlebury_2014,Vintage,benchmarking/MiddEval/MiddEval3\trainingQ\Vintage\disp0bm_30_9x3.png,722x480,None,9x3,None,FALSE,18658237.61,9952.950349,55.16288071,58021.34067,0.814228992,0.734915252,0.663314993,0.567761258,0
bm_30_9x3,30,-20,-1,components.matchers.NumbaPatchMatcher,maclean_et_al,Middlebury_2014,PianoL,benchmarking/MiddEval/MiddEval3\trainingQ\PianoL\disp0bm_30_9x3.png,707x481,None,9x3,None,FALSE,16213170,5393.298694,50.37430014,41663.59031,0.843671354,0.787384963,0.727590771,0.666115692,0
bm_30_9x3,30,-20,-1,components.matchers.NumbaPatchMatcher,maclean_et_al,Middlebury_2014,MotorcycleE,benchmarking/MiddEval/MiddEval3\trainingQ\MotorcycleE\disp0bm_30_9x3.png,741x497,None,9x3,None,FALSE,36878694.12,16715.19106,102.2723517,77636.20862,0.868699614,0.855801416,0.839589232,0.820698128,0
blg_40_5x7gc_8_gs_90_alph_0,40,-20,-1,components.matchers.NumbaPatchMatcherBilateral,maclean_et_al,Middlebury_2014,Teddy,benchmarking\MiddEval\MiddEval3\trainingQ\Teddy\disp0blg_40_5x7gc_8_gs_90_alph_0.png,450x375,None,5x7,blg_gs_90_gc_8_alpha_0,FALSE,1173840,714.2601146,7.12229692,10849.82203,0.374177851,0.175581875,0.114475888,0.092638886,43.90973878
blg_40_5x7gc_8_gs_90_alph_0,40,-20,-1,components.matchers.NumbaPatchMatcherBilateral,maclean_et_al,Middlebury_2014,Motorcycle,benchmarking\MiddEval\MiddEval3\trainingQ\Motorcycle\disp0blg_40_5x7gc_8_gs_90_alph_0.png,741x497,None,5x7,blg_gs_90_gc_8_alpha_0,FALSE,3430075.405,1151.795735,9.512318335,20379.63394,0.549580829,0.306251092,0.152385099,0.111116966,58.12800407
blg_40_5x7gc_8_gs_90_alph_0,40,-20,-1,components.matchers.NumbaPatchMatcherBilateral,maclean_et_al,Middlebury_2014,Adirondack,benchmarking\MiddEval\MiddEval3\trainingQ\Adirondack\disp0blg_40_5x7gc_8_gs_90_alph_0.png,718x496,None,5x7,blg_gs_90_gc_8_alpha_0,FALSE,3940927.418,1124.379706,11.10376881,19976.55116,0.598741118,0.353453474,0.203029996,0.13795581,57.40232134
blg_40_5x7gc_8_gs_90_alph_0,40,-20,-1,components.matchers.NumbaPatchMatcherBilateral,maclean_et_al,Middlebury_2014,Recycle,benchmarking\MiddEval\MiddEval3\trainingQ\Recycle\disp0blg_40_5x7gc_8_gs_90_alph_0.png,720x486,None,5x7,blg_gs_90_gc_8_alpha_0,FALSE,2787054.71,541.9389425,8.100325547,13655.15676,0.606213325,0.362193991,0.224691702,0.155891149,55.49511051
blg_40_5x7gc_8_gs_90_alph_0,40,-20,-1,components.matchers.NumbaPatchMatcherBilateral,maclean_et_al,Middlebury_2014,ArtL,benchmarking\MiddEval\MiddEval3\trainingQ\ArtL\disp0blg_40_5x7gc_8_gs_90_alph_0.png,347x277,None,5x7,blg_gs_90_gc_8_alpha_0,FALSE,1443723,1567.743583,15.04677485,12264.72295,0.39575191,0.29453147,0.232686114,0.196218825,35.77990317
blg_40_5x7gc_8_gs_90_alph_0,40,-20,-1,components.matchers.NumbaPatchMatcherBilateral,maclean_et_al,Middlebury_2014,PlaytableP,benchmarking\MiddEval\MiddEval3\trainingQ\PlaytableP\disp0blg_40_5x7gc_8_gs_90_alph_0.png,681x462,None,5x7,blg_gs_90_gc_8_alpha_0,FALSE,3323006.074,1015.764906,10.85403449,17634.63889,0.572623582,0.356088766,0.243838068,0.193294878,53.82720256
blg_40_5x7gc_8_gs_90_alph_0,40,-20,-1,components.matchers.NumbaPatchMatcherBilateral,maclean_et_al,Middlebury_2014,Pipes,benchmarking\MiddEval\MiddEval3\trainingQ\Pipes\disp0blg_40_5x7gc_8_gs_90_alph_0.png,735x485,None,5x7,blg_gs_90_gc_8_alpha_0,FALSE,6509914.911,2072.992365,18.92846317,26701.08013,0.568253848,0.371619146,0.269689057,0.236001186,57.19207716
blg_40_5x7gc_8_gs_90_alph_0,40,-20,-1,components.matchers.NumbaPatchMatcherBilateral,maclean_et_al,Middlebury_2014,Piano,benchmarking\MiddEval\MiddEval3\trainingQ\Piano\disp0blg_40_5x7gc_8_gs_90_alph_0.png,707x481,None,5x7,blg_gs_90_gc_8_alpha_0,FALSE,4416169.314,1047.73187,13.72103287,18363.46082,0.663971863,0.459537554,0.352538729,0.284147471,55.94168639
