experiment_id,match,gap,egap,algo,init_method,dataset,scene,image_filename,img_res,preprocessing_method,kernel_size,kernel_spec,are_occlusions_errors,abs_error,mse,avg,eucledian,bad1,bad2,bad4,bad8,runtime
blg_30_3x3gc_10_gs_90_alph_0,30,-20,-1,components.matchers.NumbaPatchMatcherBilateral,maclean_et_al,Middlebury_2014,Motorcycle,benchmarking\MiddEval\MiddEval3\trainingQ\Motorcycle\disp0blg_30_3x3gc_10_gs_90_alph_0.png,741x497,None,3x3,blg_gs_90_gc_10_alpha_0,FALSE,3781883.739,1343.808975,10.48795661,22012.9078,0.557661962,0.315161415,0.169645556,0.117084913,57.72642398
blg_30_3x3gc_10_gs_90_alph_0,30,-20,-1,components.matchers.NumbaPatchMatcherBilateral,maclean_et_al,Middlebury_2014,Teddy,benchmarking\MiddEval\MiddEval3\trainingQ\Teddy\disp0blg_30_3x3gc_10_gs_90_alph_0.png,450x375,None,3x3,blg_gs_90_gc_10_alpha_0,FALSE,1520521,898.4896306,9.225790598,12168.88955,0.474492149,0.303800694,0.19914812,0.127272286,39.91394043
blg_30_3x3gc_10_gs_90_alph_0,30,-20,-1,components.matchers.NumbaPatchMatcherBilateral,maclean_et_al,Middlebury_2014,Adirondack,benchmarking\MiddEval\MiddEval3\trainingQ\Adirondack\disp0blg_30_3x3gc_10_gs_90_alph_0.png,718x496,None,3x3,blg_gs_90_gc_10_alpha_0,FALSE,4454993.721,1161.974954,12.55217746,20307.77749,0.627347725,0.406133248,0.261457576,0.185380849,55.27278733
blg_30_3x3gc_10_gs_90_alph_0,30,-20,-1,components.matchers.NumbaPatchMatcherBilateral,maclean_et_al,Middlebury_2014,ArtL,benchmarking\MiddEval\MiddEval3\trainingQ\ArtL\disp0blg_30_3x3gc_10_gs_90_alph_0.png,347x277,None,3x3,blg_gs_90_gc_10_alpha_0,FALSE,1855185,2192.05802,19.33511553,14502.6127,0.424444236,0.33213478,0.270487446,0.234186912,34.75765562
blg_30_3x3gc_10_gs_90_alph_0,30,-20,-1,components.matchers.NumbaPatchMatcherBilateral,maclean_et_al,Middlebury_2014,Recycle,benchmarking\MiddEval\MiddEval3\trainingQ\Recycle\disp0blg_30_3x3gc_10_gs_90_alph_0.png,720x486,None,3x3,blg_gs_90_gc_10_alpha_0,FALSE,3233832.994,542.20076,9.398846718,13658.45485,0.643610111,0.424434776,0.283595928,0.204890327,56.24420524
blg_30_3x3gc_10_gs_90_alph_0,30,-20,-1,components.matchers.NumbaPatchMatcherBilateral,maclean_et_al,Middlebury_2014,Pipes,benchmarking\MiddEval\MiddEval3\trainingQ\Pipes\disp0blg_30_3x3gc_10_gs_90_alph_0.png,735x485,None,3x3,blg_gs_90_gc_10_alpha_0,FALSE,6577452.479,2277.0815,19.12483784,27984.61048,0.586810381,0.402995447,0.286050325,0.22603381,56.15092659
blg_30_3x3gc_10_gs_90_alph_0,30,-20,-1,components.matchers.NumbaPatchMatcherBilateral,maclean_et_al,Middlebury_2014,PlaytableP,benchmarking\MiddEval\MiddEval3\trainingQ\PlaytableP\disp0blg_30_3x3gc_10_gs_90_alph_0.png,681x462,None,3x3,blg_gs_90_gc_10_alpha_0,FALSE,3538904.87,994.4483513,11.5592312,17448.62002,0.596647439,0.413073159,0.316700092,0.242260431,52.48413277
blg_30_3x3gc_10_gs_90_alph_0,30,-20,-1,components.matchers.NumbaPatchMatcherBilateral,maclean_et_al,Middlebury_2014,Piano,benchmarking\MiddEval\MiddEval3\trainingQ\Piano\disp0blg_30_3x3gc_10_gs_90_alph_0.png,707x481,None,3x3,blg_gs_90_gc_10_alpha_0,FALSE,4045534.624,842.3399036,12.56947133,16465.4325,0.669884482,0.477349979,0.368632983,0.297053944,55.26233697
blg_30_3x3gc_10_gs_90_alph_0,30,-20,-1,components.matchers.NumbaPatchMatcherBilateral,maclean_et_al,Middlebury_2014,Playroom,benchmarking\MiddEval\MiddEval3\trainingQ\Playroom\disp0blg_30_3x3gc_10_gs_90_alph_0.png,699x476,None,3x3,blg_gs_90_gc_10_alpha_0,FALSE,6158045.302,2387.008157,19.56624546,27409.09162,0.657539208,0.507218932,0.378244071,0.290114003,53.91880083
blg_30_3x3gc_10_gs_90_alph_0,30,-20,-1,components.matchers.NumbaPatchMatcherBilateral,maclean_et_al,Middlebury_2014,Shelves,benchmarking\MiddEval\MiddEval3\trainingQ\Shelves\disp0blg_30_3x3gc_10_gs_90_alph_0.png,738x497,None,3x3,blg_gs_90_gc_10_alpha_0,FALSE,5163431.64,1135.460027,15.69599088,19326.83646,0.733366772,0.576891159,0.439046707,0.316173453,57.08288956
blg_30_3x3gc_10_gs_90_alph_0,30,-20,-1,components.matchers.NumbaPatchMatcherBilateral,maclean_et_al,Middlebury_2014,Playtable,benchmarking\MiddEval\MiddEval3\trainingQ\Playtable\disp0blg_30_3x3gc_10_gs_90_alph_0.png,680x463,None,3x3,blg_gs_90_gc_10_alpha_0,FALSE,5542808.82,1641.128741,18.09040232,22423.95239,0.689263859,0.561595326,0.439259779,0.350746585,55.09301519
blg_30_3x3gc_10_gs_90_alph_0,30,-20,-1,components.matchers.NumbaPatchMatcherBilateral,maclean_et_al,Middlebury_2014,MotorcycleE,benchmarking\MiddEval\MiddEval3\trainingQ\MotorcycleE\disp0blg_30_3x3gc_10_gs_90_alph_0.png,741x497,None,3x3,blg_gs_90_gc_10_alpha_0,FALSE,22388263.19,9835.564786,62.0873483,59553.63812,0.751509319,0.651205098,0.566724812,0.523299121,60.50524211
blg_30_3x3gc_10_gs_90_alph_0,30,-20,-1,components.matchers.NumbaPatchMatcherBilateral,maclean_et_al,Middlebury_2014,PianoL,benchmarking\MiddEval\MiddEval3\trainingQ\PianoL\disp0blg_30_3x3gc_10_gs_90_alph_0.png,707x481,None,3x3,blg_gs_90_gc_10_alpha_0,FALSE,12511270.24,4107.363023,38.87250193,36358.92213,0.773198407,0.664500053,0.587173066,0.521000205,54.95726895
blg_30_3x3gc_10_gs_90_alph_0,30,-20,-1,components.matchers.NumbaPatchMatcherBilateral,maclean_et_al,Middlebury_2014,Jadeplant,benchmarking\MiddEval\MiddEval3\trainingQ\Jadeplant\disp0blg_30_3x3gc_10_gs_90_alph_0.png,659x497,None,3x3,blg_gs_90_gc_10_alpha_0,FALSE,30292334.61,24811.29622,93.79390033,89516.64597,0.702511402,0.664863593,0.627612109,0.600327588,53.88901949
blg_30_3x3gc_10_gs_90_alph_0,30,-20,-1,components.matchers.NumbaPatchMatcherBilateral,maclean_et_al,Middlebury_2014,Vintage,benchmarking\MiddEval\MiddEval3\trainingQ\Vintage\disp0blg_30_3x3gc_10_gs_90_alph_0.png,722x480,None,3x3,blg_gs_90_gc_10_alpha_0,FALSE,21987385.23,13752.77521,65.00547019,68203.55513,0.807319676,0.727275684,0.647518471,0.558939093,54.67565989
blg_30_3x3gc_12_gs_90_alph_0,30,-20,-1,components.matchers.NumbaPatchMatcherBilateral,maclean_et_al,Middlebury_2014,Motorcycle,benchmarking\MiddEval\MiddEval3\trainingQ\Motorcycle\disp0blg_30_3x3gc_12_gs_90_alph_0.png,741x497,None,3x3,blg_gs_90_gc_12_alpha_0,FALSE,3726380.367,1317.768408,10.33403412,21798.57939,0.556059047,0.313314457,0.167623886,0.115240728,56.22815847
blg_30_3x3gc_12_gs_90_alph_0,30,-20,-1,components.matchers.NumbaPatchMatcherBilateral,maclean_et_al,Middlebury_2014,Teddy,benchmarking\MiddEval\MiddEval3\trainingQ\Teddy\disp0blg_30_3x3gc_12_gs_90_alph_0.png,450x375,None,3x3,blg_gs_90_gc_12_alpha_0,FALSE,1499177,861.9328872,9.096285465,11918.76181,0.476949494,0.306749509,0.201890639,0.129662889,42.10561323
