experiment_id,match,gap,egap,algo,init_method,dataset,scene,image_filename,img_res,preprocessing_method,kernel_size,kernel_spec,are_occlusions_errors,abs_error,mse,avg,eucledian,bad1,bad2,bad4,bad8,runtime
bm_30_3x5,30,-20,-1,components.matchers.NumbaPatchMatcher,maclean_et_al,Middlebury_2014,Teddy,benchmarking/MiddEval/MiddEval3\trainingQ\Teddy\disp0bm_30_3x5.png,450x375,None,3x5,None,FALSE,1103052,510.961811,6.69278936,9176.744412,0.474140233,0.287928063,0.168683106,0.10182511,0
bm_30_1x5,30,-20,-1,components.matchers.NumbaPatchMatcher,maclean_et_al,Middlebury_2014,Teddy,benchmarking/MiddEval/MiddEval3\trainingQ\Teddy\disp0bm_30_1x5.png,450x375,None,1x5,None,FALSE,1041354,399.9344587,6.318435551,8118.743622,0.482452734,0.296319443,0.171304274,0.10434313,0
bm_30_3x3,30,-20,-1,components.matchers.NumbaPatchMatcher,maclean_et_al,Middlebury_2014,Teddy,benchmarking/MiddEval/MiddEval3\trainingQ\Teddy\disp0bm_30_3x3.png,450x375,None,3x3,None,FALSE,1076140,482.9857413,6.529500279,8921.986662,0.486973036,0.304304298,0.17461714,0.098870228,0
bm_30_3x7,30,-20,-1,components.matchers.NumbaPatchMatcher,maclean_et_al,Middlebury_2014,Teddy,benchmarking/MiddEval/MiddEval3\trainingQ\Teddy\disp0bm_30_3x7.png,450x375,None,3x7,None,FALSE,1236906,631.6132199,7.504951096,10202.8152,0.47957673,0.294286824,0.174720287,0.109785695,0
bm_30_1x7,30,-20,-1,components.matchers.NumbaPatchMatcher,maclean_et_al,Middlebury_2014,Teddy,benchmarking/MiddEval/MiddEval3\trainingQ\Teddy\disp0bm_30_1x7.png,450x375,None,1x7,None,FALSE,1099030,438.8357523,6.668385797,8504.43402,0.484952552,0.299498823,0.175114676,0.108541854,0
bm_30_7x3,30,-20,-1,components.matchers.NumbaPatchMatcher,maclean_et_al,Middlebury_2014,Motorcycle,benchmarking/MiddEval/MiddEval3\trainingQ\Motorcycle\disp0bm_30_7x3.png,741x497,None,7x3,None,FALSE,3400935.984,1134.543206,9.431508611,20226.42673,0.587204965,0.355755658,0.175130965,0.102442366,0
bm_50_3x3,50,-20,-1,components.matchers.NumbaPatchMatcher,maclean_et_al,Middlebury_2014,Teddy,benchmarking/MiddEval/MiddEval3\trainingQ\Teddy\disp0bm_50_3x3.png,450x375,None,3x3,None,FALSE,1265702,700.4757785,7.679671383,10744.61791,0.481955197,0.298085091,0.176322112,0.107443633,0
bm_30_1x3,30,-20,-1,components.matchers.NumbaPatchMatcher,maclean_et_al,Middlebury_2014,Teddy,benchmarking/MiddEval/MiddEval3\trainingQ\Teddy\disp0bm_30_1x3.png,450x375,None,1x3,None,FALSE,993550,353.7238915,6.028383856,7635.3089,0.494150911,0.311840157,0.176801446,0.100004854,0
bm_30_5x3,30,-20,-1,components.matchers.NumbaPatchMatcher,maclean_et_al,Middlebury_2014,Motorcycle,benchmarking/MiddEval/MiddEval3\trainingQ\Motorcycle\disp0bm_30_5x3.png,741x497,None,5x3,None,FALSE,3462821.889,1155.174263,9.603131201,20409.50154,0.585371874,0.354629735,0.176822623,0.104660934,0
bm_30_7x5,30,-20,-1,components.matchers.NumbaPatchMatcher,maclean_et_al,Middlebury_2014,Motorcycle,benchmarking/MiddEval/MiddEval3\trainingQ\Motorcycle\disp0bm_30_7x5.png,741x497,None,7x5,None,FALSE,3432796.627,1135.740255,9.519864854,20237.0943,0.588710818,0.35839298,0.177504832,0.104183941,0
bm_30_9x3,30,-20,-1,components.matchers.NumbaPatchMatcher,maclean_et_al,Middlebury_2014,Motorcycle,benchmarking/MiddEval/MiddEval3\trainingQ\Motorcycle\disp0bm_30_9x3.png,741x497,None,9x3,None,FALSE,3391778.524,1128.188294,9.406113052,20169.70009,0.589850607,0.3618484,0.177582482,0.103474,0
bm_30_11x3,30,-20,-1,components.matchers.NumbaPatchMatcher,maclean_et_al,Middlebury_2014,Motorcycle,benchmarking/MiddEval/MiddEval3\trainingQ\Motorcycle\disp0bm_30_11x3.png,741x497,None,11x3,None,FALSE,3372443.232,1111.940366,9.352492234,20023.93349,0.591642101,0.365411974,0.179285233,0.104486221,0
bm_50_7x3,50,-20,-1,components.matchers.NumbaPatchMatcher,maclean_et_al,Middlebury_2014,Motorcycle,benchmarking/MiddEval/MiddEval3\trainingQ\Motorcycle\disp0bm_50_7x3.png,741x497,None,7x3,None,FALSE,3345807.627,1090.836694,9.278626116,19833.00472,0.592327083,0.366008214,0.179709534,0.107095812,0
bm_50_5x3,50,-20,-1,components.matchers.NumbaPatchMatcher,maclean_et_al,Middlebury_2014,Teddy,benchmarking/MiddEval/MiddEval3\trainingQ\Teddy\disp0bm_50_5x3.png,450x375,None,5x3,None,FALSE,1260348,705.1905322,7.647185885,10780.71714,0.481269568,0.298418804,0.180545106,0.109555129,0
bm_30_9x5,30,-20,-1,components.matchers.NumbaPatchMatcher,maclean_et_al,Middlebury_2014,Motorcycle,benchmarking/MiddEval/MiddEval3\trainingQ\Motorcycle\disp0bm_30_9x5.png,741x497,None,9x5,None,FALSE,3459333.512,1146.161146,9.593457198,20329.7242,0.591059727,0.363919987,0.180852096,0.105856187,0
bm_50_5x3,50,-20,-1,components.matchers.NumbaPatchMatcher,maclean_et_al,Middlebury_2014,Motorcycle,benchmarking/MiddEval/MiddEval3\trainingQ\Motorcycle\disp0bm_50_5x3.png,741x497,None,5x3,None,FALSE,3418824.508,1120.011446,9.481117238,20096.4745,0.59307585,0.368285019,0.181440017,0.108432499,0
bm_30_3x3,30,-20,-1,components.matchers.NumbaPatchMatcher,maclean_et_al,Middlebury_2014,Motorcycle,benchmarking/MiddEval/MiddEval3\trainingQ\Motorcycle\disp0bm_30_3x3.png,741x497,None,3x3,None,FALSE,3535381.873,1173.734712,9.804355251,20572.81024,0.587121769,0.361643182,0.182141639,0.108812428,0
bm_30_13x3,30,-20,-1,components.matchers.NumbaPatchMatcher,maclean_et_al,Middlebury_2014,Motorcycle,benchmarking/MiddEval/MiddEval3\trainingQ\Motorcycle\disp0bm_30_13x3.png,741x497,None,13x3,None,FALSE,3421381.735,1127.684444,9.488208963,20165.19567,0.595521821,0.370392659,0.182357949,0.106657644,0
bm_50_3x5,50,-20,-1,components.matchers.NumbaPatchMatcher,maclean_et_al,Middlebury_2014,Teddy,benchmarking/MiddEval/MiddEval3\trainingQ\Teddy\disp0bm_50_3x5.png,450x375,None,3x5,None,FALSE,1306262,724.3479722,7.925769968,10926.17216,0.486366284,0.303855302,0.182419969,0.113074291,0
bm_30_5x3,30,-20,-1,components.matchers.NumbaPatchMatcher,maclean_et_al,Middlebury_2014,Teddy,benchmarking/MiddEval/MiddEval3\trainingQ\Teddy\disp0bm_30_5x3.png,450x375,None,5x3,None,FALSE,1196926,619.6109871,7.262371672,10105.41073,0.488131932,0.306852656,0.182504915,0.107807684,0
