experiment_id,match,gap,egap,algo,init_method,dataset,scene,image_filename,img_res,preprocessing_method,kernel_size,kernel_spec,are_occlusions_errors,abs_error,mse,avg,eucledian,bad1,bad2,bad4,bad8,runtime
ALG_001-EXP_001-Baseline,60,-20,-1,components.matchers.OriginalMatcher,gap*col_index,middlebury,teddy,experiments\disparities\ALG_001-EXP_001-Baseline\ALG_001-EXP_001-Baseline_0015.png,450x375,None,1,None,FALSE,1482211,863.6434227,10.03861132,11292.37862,0.662481121,0.503884159,0.351362334,0.18868819,1497.978872
ALG_001-EXP_001-Baseline,20,-20,-1,components.matchers.OriginalMatcher,gap*col_index,middlebury,cones,experiments\disparities\ALG_001-EXP_001-Baseline\ALG_001-EXP_001-Baseline_0004.png,450x375,None,1,None,FALSE,1464300,889.0983978,10.17397829,11312.13402,0.647749538,0.516056863,0.328675847,0.168155858,1899.498052
ALG_001-EXP_001-Baseline,40,-20,-1,components.matchers.OriginalMatcher,gap*col_index,middlebury,teddy,experiments\disparities\ALG_001-EXP_001-Baseline\ALG_001-EXP_001-Baseline_0009.png,450x375,None,1,None,FALSE,1084609,436.3108072,7.345761288,8026.314659,0.676663213,0.519488524,0.339178197,0.152867234,1382.886276
ALG_001-EXP_001-Baseline,40,-20,-1,components.matchers.OriginalMatcher,gap*col_index,middlebury,cones,experiments\disparities\ALG_001-EXP_001-Baseline\ALG_001-EXP_001-Baseline_0010.png,450x375,None,1,None,FALSE,1497092,835.4902936,10.4018176,10965.80029,0.645776302,0.520892681,0.359462502,0.203785279,1456.726598
ALG_001-EXP_001-Baseline,20,-20,-1,components.matchers.OriginalMatcher,gap*col_index,middlebury,teddy,experiments\disparities\ALG_001-EXP_001-Baseline\ALG_001-EXP_001-Baseline_0003.png,450x375,None,1,None,FALSE,1084525,401.5233693,7.345192379,7699.696552,0.691502259,0.539948934,0.34648597,0.14990078,1866.504103
ALG_001-EXP_001-Baseline,60,-20,-1,components.matchers.OriginalMatcher,gap*col_index,middlebury,cones,experiments\disparities\ALG_001-EXP_001-Baseline\ALG_001-EXP_001-Baseline_0016.png,450x375,None,1,None,FALSE,1583044,812.3899782,10.99901338,10813.142,0.663000431,0.545822159,0.393570307,0.244021233,1755.401367
ALG_001-EXP_001-Baseline,60,-20,-1,components.matchers.OriginalMatcher,gap*col_index,middlebury,teddy,experiments\disparities\ALG_001-EXP_001-Baseline\ALG_001-EXP_001-Baseline_0015.png,450x375,None,1,None,TRUE,3380770,2284.10815,20.44688649,19433.56833,0.697823931,0.554806948,0.417729098,0.270103542,1497.978872
ALG_001-EXP_001-Baseline,40,-20,-1,components.matchers.OriginalMatcher,gap*col_index,middlebury,teddy,experiments\disparities\ALG_001-EXP_001-Baseline\ALG_001-EXP_001-Baseline_0009.png,450x375,None,1,None,TRUE,3032212,1951.864489,18.33880879,17964.66203,0.710585204,0.568838301,0.407042288,0.238599526,1382.886276
ALG_001-EXP_001-Baseline,20,-20,-1,components.matchers.OriginalMatcher,gap*col_index,middlebury,cones,experiments\disparities\ALG_001-EXP_001-Baseline\ALG_001-EXP_001-Baseline_0004.png,450x375,None,1,None,TRUE,3737204,3045.529993,22.88256868,22302.4439,0.688478518,0.570447156,0.404124393,0.259311417,1899.498052
ALG_001-EXP_001-Baseline,40,-20,-1,components.matchers.OriginalMatcher,gap*col_index,middlebury,cones,experiments\disparities\ALG_001-EXP_001-Baseline\ALG_001-EXP_001-Baseline_0010.png,450x375,None,1,None,TRUE,3692772,2928.064829,22.61051549,21868.11551,0.686066091,0.573729037,0.430036554,0.28920347,1456.726598
ALG_001-EXP_001-Baseline,20,-20,-1,components.matchers.OriginalMatcher,gap*col_index,middlebury,teddy,experiments\disparities\ALG_001-EXP_001-Baseline\ALG_001-EXP_001-Baseline_0003.png,450x375,None,1,None,TRUE,3050916,1933.163066,18.45193052,17878.39238,0.724029901,0.587375411,0.413912812,0.236476679,1866.504103
ALG_001-EXP_001-Baseline,60,-20,-1,components.matchers.OriginalMatcher,gap*col_index,middlebury,cones,experiments\disparities\ALG_001-EXP_001-Baseline\ALG_001-EXP_001-Baseline_0016.png,450x375,None,1,None,TRUE,3725448,2859.874162,22.81058774,21611.97603,0.701134575,0.595679674,0.459751042,0.324104065,1755.401367
ALG_001-EXP_001-Baseline,40,-20,-1,components.matchers.OriginalMatcher,default,middlebury,teddy,experiments\disparities\ALG_001-EXP_001-Baseline\ALG_001-EXP_001-Baseline_0007.png,450x375,None,1,None,FALSE,11765241,8927.075976,79.68277221,36305.53257,0.964273862,0.948818498,0.929787133,0.905533996,1423.428366
ALG_001-EXP_001-Baseline,20,-20,-1,components.matchers.OriginalMatcher,default,middlebury,teddy,experiments\disparities\ALG_001-EXP_001-Baseline\ALG_001-EXP_001-Baseline_0001.png,450x375,None,1,None,FALSE,11820069,8970.571679,80.05410732,36393.87145,0.965655498,0.950118861,0.93012577,0.907796087,711.8780344
ALG_001-EXP_001-Baseline,60,-20,-1,components.matchers.OriginalMatcher,default,middlebury,teddy,experiments\disparities\ALG_001-EXP_001-Baseline\ALG_001-EXP_001-Baseline_0013.png,450x375,None,1,None,FALSE,12299789,9462.654875,83.3031202,37378.74336,0.967010044,0.953159816,0.939776906,0.913742542,1546.416337
ALG_001-EXP_001-Baseline,40,-20,-1,components.matchers.OriginalMatcher,default,middlebury,teddy,experiments\disparities\ALG_001-EXP_001-Baseline\ALG_001-EXP_001-Baseline_0007.png,450x375,None,1,None,TRUE,13838194,9598.946935,83.69335446,39838.77862,0.968030288,0.954095704,0.937004064,0.915176843,1423.428366
ALG_001-EXP_001-Baseline,20,-20,-1,components.matchers.OriginalMatcher,default,middlebury,teddy,experiments\disparities\ALG_001-EXP_001-Baseline\ALG_001-EXP_001-Baseline_0001.png,450x375,None,1,None,TRUE,13892556,9634.544525,84.02213567,39912.5811,0.969276176,0.955269015,0.937342752,0.917263402,711.8780344
ALG_001-EXP_001-Baseline,60,-20,-1,components.matchers.OriginalMatcher,default,middlebury,teddy,experiments\disparities\ALG_001-EXP_001-Baseline\ALG_001-EXP_001-Baseline_0013.png,450x375,None,1,None,TRUE,14381758,10097.52309,86.98082785,40860.30908,0.970479727,0.957978518,0.945779708,0.922253,1546.416337
ALG_001-EXP_001-Baseline,20,-20,-1,components.matchers.OriginalMatcher,default,middlebury,cones,experiments\disparities\ALG_001-EXP_001-Baseline\ALG_001-EXP_001-Baseline_0002.png,450x375,None,1,None,FALSE,16444702,15720.18126,114.2580354,47566.19396,0.975265067,0.967163681,0.963620194,0.962564095,1122.332216
ALG_001-EXP_001-Baseline,40,-20,-1,components.matchers.OriginalMatcher,default,middlebury,cones,experiments\disparities\ALG_001-EXP_001-Baseline\ALG_001-EXP_001-Baseline_0008.png,450x375,None,1,None,FALSE,16377586,15643.25667,113.7917124,47449.67186,0.975772272,0.967858483,0.964057919,0.962647472,1382.938198
ALG_001-EXP_001-Baseline,60,-20,-1,components.matchers.OriginalMatcher,default,middlebury,cones,experiments\disparities\ALG_001-EXP_001-Baseline\ALG_001-EXP_001-Baseline_0014.png,450x375,None,1,None,FALSE,16307838,15560.13618,113.3071023,47323.44197,0.975966816,0.967969651,0.963918958,0.962334811,1523.543167
ALG_001-EXP_001-Baseline,20,-20,-1,components.matchers.OriginalMatcher,default,middlebury,cones,experiments\disparities\ALG_001-EXP_001-Baseline\ALG_001-EXP_001-Baseline_0002.png,450x375,None,1,None,TRUE,18992300,16307.41328,116.2881687,51607.58708,0.978141207,0.970873311,0.967732257,0.966630133,1122.332216
ALG_001-EXP_001-Baseline,40,-20,-1,components.matchers.OriginalMatcher,default,middlebury,cones,experiments\disparities\ALG_001-EXP_001-Baseline\ALG_001-EXP_001-Baseline_0008.png,450x375,None,1,None,TRUE,18916686,16232.28555,115.8251909,51488.5726,0.978520827,0.97141825,0.968044526,0.966562781,1382.938198
ALG_001-EXP_001-Baseline,60,-20,-1,components.matchers.OriginalMatcher,default,middlebury,cones,experiments\disparities\ALG_001-EXP_001-Baseline\ALG_001-EXP_001-Baseline_0014.png,450x375,None,1,None,TRUE,18846940,16160.7863,115.3981423,51375.05017,0.978747375,0.971589691,0.967995543,0.966317865,1523.543167
ALG_001-EXP_001-Baseline,40,-20,-1,components.matchers.OriginalMatcher,gap*col,middlebury,teddy,experiments\disparities\ALG_001-EXP_001-Baseline\ALG_001-EXP_001-Baseline_0011.png,450x375,None,1,None,FALSE,12631679,9689.521635,85.55092075,37824.16634,0.991798227,0.98490359,0.974033362,0.953085316,1444.930828
ALG_001-EXP_001-Baseline,20,-20,-1,components.matchers.OriginalMatcher,gap*col,middlebury,teddy,experiments\disparities\ALG_001-EXP_001-Baseline\ALG_001-EXP_001-Baseline_0005.png,450x375,None,1,None,FALSE,12605605,9659.793262,85.37432865,37766.09769,0.992197818,0.985736636,0.972340181,0.949204543,1406.678566
ALG_001-EXP_001-Baseline,40,-20,-1,components.matchers.OriginalMatcher,gap*col,middlebury,teddy,experiments\disparities\ALG_001-EXP_001-Baseline\ALG_001-EXP_001-Baseline_0011.png,450x375,None,1,None,TRUE,14708228,10273.92444,88.9553174,41215.67374,0.992675876,0.986519015,0.97681198,0.958105525,1444.930828
ALG_001-EXP_001-Baseline,20,-20,-1,components.matchers.OriginalMatcher,gap*col,middlebury,teddy,experiments\disparities\ALG_001-EXP_001-Baseline\ALG_001-EXP_001-Baseline_0005.png,450x375,None,1,None,TRUE,14676978,10240.09925,88.7663175,41147.76993,0.993032708,0.987262919,0.975299981,0.954609783,1406.678566
ALG_001-EXP_001-Baseline,60,-20,-1,components.matchers.OriginalMatcher,gap*col,middlebury,teddy,experiments\disparities\ALG_001-EXP_001-Baseline\ALG_001-EXP_001-Baseline_0017.png,450x375,None,1,None,FALSE,13119557,10107.63559,88.85518554,38631.62568,0.992306181,0.987768454,0.982553454,0.967511226,1668.998992
ALG_001-EXP_001-Baseline,60,-20,-1,components.matchers.OriginalMatcher,gap*col,middlebury,teddy,experiments\disparities\ALG_001-EXP_001-Baseline\ALG_001-EXP_001-Baseline_0017.png,450x375,None,1,None,TRUE,15217878,10681.13873,92.03767902,42024.54285,0.993129476,0.989077318,0.984335688,0.970903087,1668.998992
ALG_001-EXP_001-Baseline,60,-20,-1,components.matchers.OriginalMatcher,gap*col,middlebury,cones,experiments\disparities\ALG_001-EXP_001-Baseline\ALG_001-EXP_001-Baseline_0018.png,450x375,None,1,None,FALSE,16852034,15980.15158,117.0881842,47957.89086,0.999833248,0.999680391,0.999527535,0.998909162,1581.636221
ALG_001-EXP_001-Baseline,60,-20,-1,components.matchers.OriginalMatcher,gap*col,middlebury,cones,experiments\disparities\ALG_001-EXP_001-Baseline\ALG_001-EXP_001-Baseline_0018.png,450x375,None,1,None,TRUE,19410212,16545.21408,118.8470068,51982.50579,0.999840804,0.999687732,0.999553027,0.998916245,1581.636221
ALG_001-EXP_001-Baseline,40,-20,-1,components.matchers.OriginalMatcher,gap*col,middlebury,cones,experiments\disparities\ALG_001-EXP_001-Baseline\ALG_001-EXP_001-Baseline_0012.png,450x375,None,1,None,TRUE,19472340,16601.17014,119.227411,52070.33424,0.999981631,0.999944894,0.999902033,0.999497921,1496.150081
ALG_001-EXP_001-Baseline,20,-20,-1,components.matchers.OriginalMatcher,gap*col,middlebury,cones,experiments\disparities\ALG_001-EXP_001-Baseline\ALG_001-EXP_001-Baseline_0006.png,450x375,None,1,None,TRUE,19550250,16682.80726,119.7044471,52198.20652,0.999987754,0.999969385,0.999969385,0.999938771,1356.98413
ALG_001-EXP_001-Baseline,40,-20,-1,components.matchers.OriginalMatcher,gap*col,middlebury,cones,experiments\disparities\ALG_001-EXP_001-Baseline\ALG_001-EXP_001-Baseline_0012.png,450x375,None,1,None,FALSE,16915268,16045.89898,117.527535,48056.44656,0.999993052,0.999972208,0.999923572,0.999534483,1496.150081
ALG_001-EXP_001-Baseline,20,-20,-1,components.matchers.OriginalMatcher,gap*col,middlebury,cones,experiments\disparities\ALG_001-EXP_001-Baseline\ALG_001-EXP_001-Baseline_0006.png,450x375,None,1,None,FALSE,16987700,16133.4981,118.0307936,48187.44492,1,1,1,0.999979156,1356.98413
