experiment_id,match,gap,egap,algo,init_method,dataset,scene,image_filename,img_res,preprocessing_method,kernel_size,kernel_spec,are_occlusions_errors,abs_error,mse,avg,eucledian,bad1,bad2,bad4,bad8,runtime
ALG_002_EXP_001-Baseline-MacLean_et_al,20,-20,-1,components.matchers.OriginalMatcher3,maclean_et_al,middlebury,teddy,experiments\disparities\ALG_002_EXP_001-Baseline-MacLean_et_al\ALG_002_EXP_001-Baseline-MacLean_et_al_0001.png,450x375,None,1,None,FALSE,1060665,396.7021084,7.183595099,7653.33019,0.688705122,0.532553115,0.332710242,0.137554097,175.2763886
ALG_002_EXP_001-Baseline-MacLean_et_al,20,-20,-1,components.matchers.OriginalMatcher3,maclean_et_al,middlebury,cones,experiments\disparities\ALG_002_EXP_001-Baseline-MacLean_et_al\ALG_002_EXP_001-Baseline-MacLean_et_al_0002.png,450x375,None,1,None,FALSE,1448822,883.2413879,10.06643692,11274.81264,0.643705793,0.510852799,0.324722427,0.165835221,186.5117784
ALG_002_EXP_001-Baseline-MacLean_et_al,20,-20,-1,components.matchers.OriginalMatcher3,maclean_et_al,middlebury,teddy,experiments\disparities\ALG_002_EXP_001-Baseline-MacLean_et_al\ALG_002_EXP_001-Baseline-MacLean_et_al_0001.png,450x375,None,1,None,TRUE,3027642,1929.62731,18.31116944,17862.0351,0.721544175,0.580770999,0.401623282,0.225451181,175.2763886
ALG_002_EXP_001-Baseline-MacLean_et_al,20,-20,-1,components.matchers.OriginalMatcher3,maclean_et_al,middlebury,cones,experiments\disparities\ALG_002_EXP_001-Baseline-MacLean_et_al\ALG_002_EXP_001-Baseline-MacLean_et_al_0002.png,450x375,None,1,None,TRUE,3723148,3041.700528,22.79650504,22288.41789,0.684872123,0.565787621,0.400573104,0.25723575,186.5117784
ALG_002_EXP_001-Baseline-MacLean_et_al,40,-20,-1,components.matchers.OriginalMatcher3,maclean_et_al,middlebury,teddy,experiments\disparities\ALG_002_EXP_001-Baseline-MacLean_et_al\ALG_002_EXP_001-Baseline-MacLean_et_al_0003.png,450x375,None,1,None,FALSE,1071431,437.5581269,7.256510284,8037.779233,0.674983576,0.514571523,0.330278833,0.145146325,204.6505578
ALG_002_EXP_001-Baseline-MacLean_et_al,40,-20,-1,components.matchers.OriginalMatcher3,maclean_et_al,middlebury,teddy,experiments\disparities\ALG_002_EXP_001-Baseline-MacLean_et_al\ALG_002_EXP_001-Baseline-MacLean_et_al_0003.png,450x375,None,1,None,TRUE,3018334,1951.968175,18.25487469,17965.13919,0.709085301,0.564447455,0.39909522,0.231698761,204.6505578
ALG_002_EXP_001-Baseline-MacLean_et_al,40,-20,-1,components.matchers.OriginalMatcher3,maclean_et_al,middlebury,cones,experiments\disparities\ALG_002_EXP_001-Baseline-MacLean_et_al\ALG_002_EXP_001-Baseline-MacLean_et_al_0004.png,450x375,None,1,None,FALSE,1469836,820.3529036,10.21244251,10866.00718,0.641774245,0.515765046,0.353549741,0.197733558,304.0436523
ALG_002_EXP_001-Baseline-MacLean_et_al,40,-20,-1,components.matchers.OriginalMatcher3,maclean_et_al,middlebury,cones,experiments\disparities\ALG_002_EXP_001-Baseline-MacLean_et_al\ALG_002_EXP_001-Baseline-MacLean_et_al_0004.png,450x375,None,1,None,TRUE,3667704,2916.298063,22.45702635,21824.13151,0.682569908,0.569191959,0.424715744,0.283858169,304.0436523
ALG_002_EXP_001-Baseline-MacLean_et_al,60,-20,-1,components.matchers.OriginalMatcher3,maclean_et_al,middlebury,teddy,experiments\disparities\ALG_002_EXP_001-Baseline-MacLean_et_al\ALG_002_EXP_001-Baseline-MacLean_et_al_0005.png,450x375,None,1,None,FALSE,1468417,844.0063596,9.945188316,11163.26041,0.661031757,0.500050795,0.346377607,0.185545645,177.5916672
ALG_002_EXP_001-Baseline-MacLean_et_al,60,-20,-1,components.matchers.OriginalMatcher3,maclean_et_al,middlebury,teddy,experiments\disparities\ALG_002_EXP_001-Baseline-MacLean_et_al\ALG_002_EXP_001-Baseline-MacLean_et_al_0005.png,450x375,None,1,None,TRUE,3366428,2265.612698,20.36014612,19354.72723,0.696529659,0.551377734,0.413271724,0.267285175,177.5916672
ALG_002_EXP_001-Baseline-MacLean_et_al,60,-20,-1,components.matchers.OriginalMatcher3,maclean_et_al,middlebury,cones,experiments\disparities\ALG_002_EXP_001-Baseline-MacLean_et_al\ALG_002_EXP_001-Baseline-MacLean_et_al_0006.png,450x375,None,1,None,FALSE,1578996,807.8808832,10.97088782,10783.09158,0.662944847,0.545766574,0.393514723,0.243944805,167.4257262
ALG_002_EXP_001-Baseline-MacLean_et_al,60,-20,-1,components.matchers.OriginalMatcher3,maclean_et_al,middlebury,cones,experiments\disparities\ALG_002_EXP_001-Baseline-MacLean_et_al\ALG_002_EXP_001-Baseline-MacLean_et_al_0006.png,450x375,None,1,None,TRUE,3720728,2855.437451,22.7816876,21595.20549,0.701085592,0.59563069,0.459695936,0.324024467,167.4257262
