experiment_id,match,gap,egap,algo,init_method,dataset,scene,image_filename,img_res,preprocessing_method,kernel_size,kernel_spec,are_occlusions_errors,abs_error,mse,avg,eucledian,bad1,bad2,bad4,bad8,runtime
ALG_004_EXP_002-Baseline-MacLean_et_al-Numba_param_search,0,-20,-1,components.matchers.NumbaSimpleMatcher,maclean_et_al,middlebury,teddy,experiments\disparities\ALG_004_EXP_002-Baseline-MacLean_et_al-Numba_param_search\ALG_004_EXP_002-Baseline-MacLean_et_al-Numba_param_search_0001.png,450x375,None,1,None,FALSE,15884167,12862.8126,107.5791359,43579.89379,1,1,1,1,20.55287838
ALG_004_EXP_002-Baseline-MacLean_et_al-Numba_param_search,0,-20,-1,components.matchers.NumbaSimpleMatcher,maclean_et_al,middlebury,cones,experiments\disparities\ALG_004_EXP_002-Baseline-MacLean_et_al-Numba_param_search\ALG_004_EXP_002-Baseline-MacLean_et_al-Numba_param_search_0002.png,450x375,None,1,None,FALSE,19168884,19899.83408,133.1856926,53517.31981,1,1,1,1,14.14162493
ALG_004_EXP_002-Baseline-MacLean_et_al-Numba_param_search,0,-20,-1,components.matchers.NumbaSimpleMatcher,maclean_et_al,middlebury,teddy,experiments\disparities\ALG_004_EXP_002-Baseline-MacLean_et_al-Numba_param_search\ALG_004_EXP_002-Baseline-MacLean_et_al-Numba_param_search_0003.png,450x375,None,1,None,FALSE,15884167,12862.8126,107.5791359,43579.89379,1,1,1,1,23.52327275
ALG_004_EXP_002-Baseline-MacLean_et_al-Numba_param_search,0,-20,-1,components.matchers.NumbaSimpleMatcher,maclean_et_al,middlebury,teddy,experiments\disparities\ALG_004_EXP_002-Baseline-MacLean_et_al-Numba_param_search\ALG_004_EXP_002-Baseline-MacLean_et_al-Numba_param_search_0003.png,450x375,None,1,None,TRUE,18114852,13362.48932,109.5585688,47004.3342,1,1,1,1,23.52327275
ALG_004_EXP_002-Baseline-MacLean_et_al-Numba_param_search,0,-20,-1,components.matchers.NumbaSimpleMatcher,maclean_et_al,middlebury,cones,experiments\disparities\ALG_004_EXP_002-Baseline-MacLean_et_al-Numba_param_search\ALG_004_EXP_002-Baseline-MacLean_et_al-Numba_param_search_0004.png,450x375,None,1,None,FALSE,19168884,19899.83408,133.1856926,53517.31981,1,1,1,1,16.89709353
ALG_004_EXP_002-Baseline-MacLean_et_al-Numba_param_search,0,-20,-1,components.matchers.NumbaSimpleMatcher,maclean_et_al,middlebury,cones,experiments\disparities\ALG_004_EXP_002-Baseline-MacLean_et_al-Numba_param_search\ALG_004_EXP_002-Baseline-MacLean_et_al-Numba_param_search_0004.png,450x375,None,1,None,TRUE,21917648,20240.86458,134.1998151,57495.7237,1,1,1,1,16.89709353
ALG_004_EXP_002-Baseline-MacLean_et_al-Numba_param_search,1,-20,-1,components.matchers.NumbaSimpleMatcher,maclean_et_al,middlebury,teddy,experiments\disparities\ALG_004_EXP_002-Baseline-MacLean_et_al-Numba_param_search\ALG_004_EXP_002-Baseline-MacLean_et_al-Numba_param_search_0005.png,450x375,None,1,None,FALSE,15555799,12648.84095,105.3551889,43215.90003,0.995184591,0.992103,0.986461318,0.98147659,16.27561998
ALG_004_EXP_002-Baseline-MacLean_et_al-Numba_param_search,1,-20,-1,components.matchers.NumbaSimpleMatcher,maclean_et_al,middlebury,teddy,experiments\disparities\ALG_004_EXP_002-Baseline-MacLean_et_al-Numba_param_search\ALG_004_EXP_002-Baseline-MacLean_et_al-Numba_param_search_0005.png,450x375,None,1,None,TRUE,17789404,13232.25059,107.5902603,46774.70729,0.995699874,0.992948036,0.987910054,0.98345268,16.27561998
ALG_004_EXP_002-Baseline-MacLean_et_al-Numba_param_search,1,-20,-1,components.matchers.NumbaSimpleMatcher,maclean_et_al,middlebury,cones,experiments\disparities\ALG_004_EXP_002-Baseline-MacLean_et_al-Numba_param_search\ALG_004_EXP_002-Baseline-MacLean_et_al-Numba_param_search_0006.png,450x375,None,1,None,FALSE,19019834,19951.89233,132.150091,53587.27513,0.998033712,0.994087239,0.993427178,0.992822701,17.62186456
ALG_004_EXP_002-Baseline-MacLean_et_al-Numba_param_search,1,-20,-1,components.matchers.NumbaSimpleMatcher,maclean_et_al,middlebury,cones,experiments\disparities\ALG_004_EXP_002-Baseline-MacLean_et_al-Numba_param_search\ALG_004_EXP_002-Baseline-MacLean_et_al-Numba_param_search_0006.png,450x375,None,1,None,TRUE,21768598,20286.74071,133.2871952,57560.84416,0.998267216,0.994789402,0.994207726,0.993675033,17.62186456
