experiment_id,match,gap,egap,algo,init_method,dataset,scene,image_filename,img_res,preprocessing_method,kernel_size,kernel_spec,are_occlusions_errors,abs_error,mse,avg,eucledian,bad1,bad2,bad4,bad8,runtime
ALG_004_EXP_002-Baseline-MacLean_et_al-Numba_param_search_gap_egap,30,0,0,components.matchers.NumbaSimpleMatcher,maclean_et_al,middlebury,teddy,..\..\experiments\disparities\ALG_004_EXP_002-Baseline-MacLean_et_al-Numba_param_search_gap_egap\ALG_004_EXP_002-Baseline-MacLean_et_al-Numba_param_search_gap_egap_0001.png,450x375,None,1,None,False,7658479.0,4551.745338670243,51.86879194858145,25924.30811034308,0.9530108160459462,0.9293875422448883,0.8958151316279606,0.8348131743096897,14.500359535217285
ALG_004_EXP_002-Baseline-MacLean_et_al-Numba_param_search_gap_egap,30,0,0,components.matchers.NumbaSimpleMatcher,maclean_et_al,middlebury,teddy,..\..\experiments\disparities\ALG_004_EXP_002-Baseline-MacLean_et_al-Numba_param_search_gap_egap\ALG_004_EXP_002-Baseline-MacLean_et_al-Numba_param_search_gap_egap_0001.png,450x375,None,1,None,True,9274254.0,5321.293364137798,56.09065947358235,29662.163272425023,0.9420601896651829,0.9200333849429069,0.8904647280820592,0.8344421327656281,14.500359535217285
ALG_004_EXP_002-Baseline-MacLean_et_al-Numba_param_search_gap_egap,30,0,0,components.matchers.NumbaSimpleMatcher,maclean_et_al,middlebury,cones,..\..\experiments\disparities\ALG_004_EXP_002-Baseline-MacLean_et_al-Numba_param_search_gap_egap\ALG_004_EXP_002-Baseline-MacLean_et_al-Numba_param_search_gap_egap_0002.png,450x375,None,1,None,False,9746944.0,7265.214679765991,67.72191264955602,32336.562711580835,0.9615427372399705,0.9466392451676556,0.9230576824201325,0.8889081889304226,7.7770280838012695
ALG_004_EXP_002-Baseline-MacLean_et_al-Numba_param_search_gap_egap,30,0,0,components.matchers.NumbaSimpleMatcher,maclean_et_al,middlebury,cones,..\..\experiments\disparities\ALG_004_EXP_002-Baseline-MacLean_et_al-Numba_param_search_gap_egap\ALG_004_EXP_002-Baseline-MacLean_et_al-Numba_param_search_gap_egap_0002.png,450x375,None,1,None,True,11839022.0,8348.682386221,72.48928184373106,36925.806098174755,0.9605072219739041,0.9467796547902597,0.9252147611146148,0.8934246055314381,7.7770280838012695
ALG_004_EXP_002-Baseline-MacLean_et_al-Numba_param_search_gap_egap,30,-5,0,components.matchers.NumbaSimpleMatcher,maclean_et_al,middlebury,teddy,..\..\experiments\disparities\ALG_004_EXP_002-Baseline-MacLean_et_al-Numba_param_search_gap_egap\ALG_004_EXP_002-Baseline-MacLean_et_al-Numba_param_search_gap_egap_0003.png,450x375,None,1,None,False,1612131.0,633.6447365747607,10.91852408720564,9672.5528688139,0.7814914900677951,0.657117120778051,0.4630039755910898,0.2552234661465212,9.782600402832031
ALG_004_EXP_002-Baseline-MacLean_et_al-Numba_param_search_gap_egap,30,-5,0,components.matchers.NumbaSimpleMatcher,maclean_et_al,middlebury,teddy,..\..\experiments\disparities\ALG_004_EXP_002-Baseline-MacLean_et_al-Numba_param_search_gap_egap\ALG_004_EXP_002-Baseline-MacLean_et_al-Numba_param_search_gap_egap_0003.png,450x375,None,1,None,True,3496624.0,2084.6299230694794,21.147571124443584,18565.58779031787,0.792348074317786,0.6801274917747242,0.5116423940390943,0.3255999612928198,9.782600402832031
ALG_004_EXP_002-Baseline-MacLean_et_al-Numba_param_search_gap_egap,30,-5,0,components.matchers.NumbaSimpleMatcher,maclean_et_al,middlebury,cones,..\..\experiments\disparities\ALG_004_EXP_002-Baseline-MacLean_et_al-Numba_param_search_gap_egap\ALG_004_EXP_002-Baseline-MacLean_et_al-Numba_param_search_gap_egap_0004.png,450x375,None,1,None,False,2084366.0,1159.1225490877257,14.4822061337076,12916.186434083398,0.7716743326431639,0.6749371204646832,0.4963522921501327,0.32503508747550824,10.697674989700317
ALG_004_EXP_002-Baseline-MacLean_et_al-Numba_param_search_gap_egap,30,-5,0,components.matchers.NumbaSimpleMatcher,maclean_et_al,middlebury,cones,..\..\experiments\disparities\ALG_004_EXP_002-Baseline-MacLean_et_al-Numba_param_search_gap_egap\ALG_004_EXP_002-Baseline-MacLean_et_al-Numba_param_search_gap_egap_0004.png,450x375,None,1,None,True,4283466.0,3206.0917824407147,26.22728246826801,22882.79082629564,0.7940803693340109,0.7071289056520594,0.5494272016458386,0.3953686298761335,10.697674989700317
ALG_004_EXP_002-Baseline-MacLean_et_al-Numba_param_search_gap_egap,30,-10,0,components.matchers.NumbaSimpleMatcher,maclean_et_al,middlebury,teddy,..\..\experiments\disparities\ALG_004_EXP_002-Baseline-MacLean_et_al-Numba_param_search_gap_egap\ALG_004_EXP_002-Baseline-MacLean_et_al-Numba_param_search_gap_egap_0005.png,450x375,None,1,None,False,1292959.0,493.81435276428874,8.75685907985723,8538.863097626054,0.7317932150815097,0.5888615722209806,0.39132142687824667,0.18054737184306235,9.391549825668335
ALG_004_EXP_002-Baseline-MacLean_et_al-Numba_param_search_gap_egap,30,-10,0,components.matchers.NumbaSimpleMatcher,maclean_et_al,middlebury,teddy,..\..\experiments\disparities\ALG_004_EXP_002-Baseline-MacLean_et_al-Numba_param_search_gap_egap\ALG_004_EXP_002-Baseline-MacLean_et_al-Numba_param_search_gap_egap_0005.png,450x375,None,1,None,True,3227828.0,1998.301541029611,19.5218937487904,18177.105655191644,0.7496189761950842,0.6206998742016644,0.45079349719372946,0.26187826591832786,9.391549825668335
ALG_004_EXP_002-Baseline-MacLean_et_al-Numba_param_search_gap_egap,30,-10,0,components.matchers.NumbaSimpleMatcher,maclean_et_al,middlebury,cones,..\..\experiments\disparities\ALG_004_EXP_002-Baseline-MacLean_et_al-Numba_param_search_gap_egap\ALG_004_EXP_002-Baseline-MacLean_et_al-Numba_param_search_gap_egap_0006.png,450x375,None,1,None,False,1684668.0,977.0201909314509,11.705098453371871,11858.271712184705,0.7045356641607493,0.5881564137126023,0.40058085404999794,0.23104928921807039,9.291476488113403
ALG_004_EXP_002-Baseline-MacLean_et_al-Numba_param_search_gap_egap,30,-10,0,components.matchers.NumbaSimpleMatcher,maclean_et_al,middlebury,cones,..\..\experiments\disparities\ALG_004_EXP_002-Baseline-MacLean_et_al-Numba_param_search_gap_egap\ALG_004_EXP_002-Baseline-MacLean_et_al-Numba_param_search_gap_egap_0006.png,450x375,None,1,None,True,3915360.0,3086.9706406402115,23.973402073217773,22453.666337593957,0.7356249349440672,0.6311374532362648,0.46550657906821535,0.31294812057236976,9.291476488113403
ALG_004_EXP_002-Baseline-MacLean_et_al-Numba_param_search_gap_egap,30,-15,0,components.matchers.NumbaSimpleMatcher,maclean_et_al,middlebury,teddy,..\..\experiments\disparities\ALG_004_EXP_002-Baseline-MacLean_et_al-Numba_param_search_gap_egap\ALG_004_EXP_002-Baseline-MacLean_et_al-Numba_param_search_gap_egap_0007.png,450x375,None,1,None,False,1207611.0,465.39111147232325,8.178820326310015,8289.479054801935,0.702094804640673,0.5525394342063379,0.3589003799500173,0.16105546186615735,9.863471984863281
ALG_004_EXP_002-Baseline-MacLean_et_al-Numba_param_search_gap_egap,30,-15,0,components.matchers.NumbaSimpleMatcher,maclean_et_al,middlebury,teddy,..\..\experiments\disparities\ALG_004_EXP_002-Baseline-MacLean_et_al-Numba_param_search_gap_egap\ALG_004_EXP_002-Baseline-MacLean_et_al-Numba_param_search_gap_egap_0007.png,450x375,None,1,None,True,3145676.0,1976.4087599187148,19.025038707180183,18077.260024682942,0.7228686858912329,0.5879741629572286,0.4215453841687633,0.244472130830269,9.863471984863281
ALG_004_EXP_002-Baseline-MacLean_et_al-Numba_param_search_gap_egap,30,-15,0,components.matchers.NumbaSimpleMatcher,maclean_et_al,middlebury,cones,..\..\experiments\disparities\ALG_004_EXP_002-Baseline-MacLean_et_al-Numba_param_search_gap_egap\ALG_004_EXP_002-Baseline-MacLean_et_al-Numba_param_search_gap_egap_0008.png,450x375,None,1,None,False,1569442.0,917.7060433834054,10.90450648249795,11492.682889560645,0.6722065505884969,0.5480455233939664,0.3655837027361283,0.20201353473312675,9.135395526885986
ALG_004_EXP_002-Baseline-MacLean_et_al-Numba_param_search_gap_egap,30,-15,0,components.matchers.NumbaSimpleMatcher,maclean_et_al,middlebury,cones,..\..\experiments\disparities\ALG_004_EXP_002-Baseline-MacLean_et_al-Numba_param_search_gap_egap\ALG_004_EXP_002-Baseline-MacLean_et_al-Numba_param_search_gap_egap_0008.png,450x375,None,1,None,True,3802974.0,3037.0238487395986,23.285272561397495,22271.27683811595,0.7076738447597063,0.5962491045242192,0.4350206035965981,0.28789316744325594,9.135395526885986
ALG_004_EXP_002-Baseline-MacLean_et_al-Numba_param_search_gap_egap,30,-20,0,components.matchers.NumbaSimpleMatcher,maclean_et_al,middlebury,teddy,..\..\experiments\disparities\ALG_004_EXP_002-Baseline-MacLean_et_al-Numba_param_search_gap_egap\ALG_004_EXP_002-Baseline-MacLean_et_al-Numba_param_search_gap_egap_0009.png,450x375,None,1,None,False,1136657.0,418.20286350922106,7.698268213557646,7857.994082461503,0.6818375764471626,0.528306614923028,0.3451720611441846,0.15821768900989497,9.18675947189331
ALG_004_EXP_002-Baseline-MacLean_et_al-Numba_param_search_gap_egap,30,-20,0,components.matchers.NumbaSimpleMatcher,maclean_et_al,middlebury,teddy,..\..\experiments\disparities\ALG_004_EXP_002-Baseline-MacLean_et_al-Numba_param_search_gap_egap\ALG_004_EXP_002-Baseline-MacLean_et_al-Numba_param_search_gap_egap_0009.png,450x375,None,1,None,True,3074224.0,1935.429806947939,18.592897232436616,17888.8710096529,0.7050512870137411,0.5665823979098122,0.40914699051674086,0.24193197213083026,9.18675947189331
ALG_004_EXP_002-Baseline-MacLean_et_al-Numba_param_search_gap_egap,30,-20,0,components.matchers.NumbaSimpleMatcher,maclean_et_al,middlebury,cones,..\..\experiments\disparities\ALG_004_EXP_002-Baseline-MacLean_et_al-Numba_param_search_gap_egap\ALG_004_EXP_002-Baseline-MacLean_et_al-Numba_param_search_gap_egap_0010.png,450x375,None,1,None,False,1492516.0,881.5953198171283,10.370023484290538,11264.30148744253,0.6443033225407501,0.5149938162666926,0.34052221280380196,0.18461570529299778,9.888979196548462
ALG_004_EXP_002-Baseline-MacLean_et_al-Numba_param_search_gap_egap,30,-20,0,components.matchers.NumbaSimpleMatcher,maclean_et_al,middlebury,cones,..\..\experiments\disparities\ALG_004_EXP_002-Baseline-MacLean_et_al-Numba_param_search_gap_egap\ALG_004_EXP_002-Baseline-MacLean_et_al-Numba_param_search_gap_egap_0010.png,450x375,None,1,None,True,3723686.0,3004.170804734235,22.799799168508642,22150.489385112916,0.6832434285854238,0.5672142590358864,0.4130638435963532,0.27270222445368325,9.888979196548462
ALG_004_EXP_002-Baseline-MacLean_et_al-Numba_param_search_gap_egap,30,-25,0,components.matchers.NumbaSimpleMatcher,maclean_et_al,middlebury,teddy,..\..\experiments\disparities\ALG_004_EXP_002-Baseline-MacLean_et_al-Numba_param_search_gap_egap\ALG_004_EXP_002-Baseline-MacLean_et_al-Numba_param_search_gap_egap_0011.png,450x375,None,1,None,False,1082455.0,387.29733628624257,7.3311728332351285,7562.065789187503,0.6773540307888196,0.5200100236368193,0.33627946983088497,0.14752355216016147,9.23888635635376
ALG_004_EXP_002-Baseline-MacLean_et_al-Numba_param_search_gap_egap,30,-25,0,components.matchers.NumbaSimpleMatcher,maclean_et_al,middlebury,teddy,..\..\experiments\disparities\ALG_004_EXP_002-Baseline-MacLean_et_al-Numba_param_search_gap_egap\ALG_004_EXP_002-Baseline-MacLean_et_al-Numba_param_search_gap_egap_0011.png,450x375,None,1,None,True,3017736.0,1907.5156885039676,18.251257983355913,17759.39959570706,0.7008116411844397,0.5588893458486549,0.4005769789045868,0.23201930520611574,9.23888635635376
ALG_004_EXP_002-Baseline-MacLean_et_al-Numba_param_search_gap_egap,30,-25,0,components.matchers.NumbaSimpleMatcher,maclean_et_al,middlebury,cones,..\..\experiments\disparities\ALG_004_EXP_002-Baseline-MacLean_et_al-Numba_param_search_gap_egap\ALG_004_EXP_002-Baseline-MacLean_et_al-Numba_param_search_gap_egap_0012.png,450x375,None,1,None,False,1450012.0,847.6565457248864,10.074705056765282,11045.352687895484,0.6274335422369829,0.496477356419271,0.3270916999013382,0.17779970262496006,9.207149982452393
ALG_004_EXP_002-Baseline-MacLean_et_al-Numba_param_search_gap_egap,30,-25,0,components.matchers.NumbaSimpleMatcher,maclean_et_al,middlebury,cones,..\..\experiments\disparities\ALG_004_EXP_002-Baseline-MacLean_et_al-Numba_param_search_gap_egap\ALG_004_EXP_002-Baseline-MacLean_et_al-Numba_param_search_gap_egap_0012.png,450x375,None,1,None,True,3672580.0,2967.095499047887,22.48688166249288,22013.38238435884,0.6683892457185543,0.550829348338548,0.40086088133185566,0.26644460908272666,9.207149982452393
ALG_004_EXP_002-Baseline-MacLean_et_al-Numba_param_search_gap_egap,30,-30,0,components.matchers.NumbaSimpleMatcher,maclean_et_al,middlebury,teddy,..\..\experiments\disparities\ALG_004_EXP_002-Baseline-MacLean_et_al-Numba_param_search_gap_egap\ALG_004_EXP_002-Baseline-MacLean_et_al-Numba_param_search_gap_egap_0013.png,450x375,None,1,None,False,1046783.0,360.4551747025079,7.089576094980732,7295.311302473665,0.6730330305924105,0.5131763415080155,0.33352296970558953,0.1491151431415974,9.146884441375732
ALG_004_EXP_002-Baseline-MacLean_et_al-Numba_param_search_gap_egap,30,-30,0,components.matchers.NumbaSimpleMatcher,maclean_et_al,middlebury,teddy,..\..\experiments\disparities\ALG_004_EXP_002-Baseline-MacLean_et_al-Numba_param_search_gap_egap\ALG_004_EXP_002-Baseline-MacLean_et_al-Numba_param_search_gap_egap_0013.png,450x375,None,1,None,True,2978564.0,1880.8805520611572,18.014345848654926,17634.974170664384,0.6969106831817302,0.5527566769885813,0.3976678923940391,0.2331502806270563,9.146884441375732
ALG_004_EXP_002-Baseline-MacLean_et_al-Numba_param_search_gap_egap,30,-30,0,components.matchers.NumbaSimpleMatcher,maclean_et_al,middlebury,cones,..\..\experiments\disparities\ALG_004_EXP_002-Baseline-MacLean_et_al-Numba_param_search_gap_egap\ALG_004_EXP_002-Baseline-MacLean_et_al-Numba_param_search_gap_egap_0014.png,450x375,None,1,None,False,1474892.0,843.9450273056988,10.247571668774231,11021.144768126404,0.6144546503064074,0.4836165807428818,0.33049622722788097,0.19167488848436,9.159080028533936
ALG_004_EXP_002-Baseline-MacLean_et_al-Numba_param_search_gap_egap,30,-30,0,components.matchers.NumbaSimpleMatcher,maclean_et_al,middlebury,cones,..\..\experiments\disparities\ALG_004_EXP_002-Baseline-MacLean_et_al-Numba_param_search_gap_egap\ALG_004_EXP_002-Baseline-MacLean_et_al-Numba_param_search_gap_egap_0014.png,450x375,None,1,None,True,3684936.0,2951.113182015785,22.562536354785973,21954.014575926656,0.6570679826844068,0.5396489122648037,0.40383661623428707,0.2785434818547523,9.159080028533936
ALG_004_EXP_002-Baseline-MacLean_et_al-Numba_param_search_gap_egap,30,-35,0,components.matchers.NumbaSimpleMatcher,maclean_et_al,middlebury,teddy,..\..\experiments\disparities\ALG_004_EXP_002-Baseline-MacLean_et_al-Numba_param_search_gap_egap\ALG_004_EXP_002-Baseline-MacLean_et_al-Numba_param_search_gap_egap_0015.png,450x375,None,1,None,False,1037723.0,348.78928689951306,7.0282151831006905,7176.286435197525,0.6536494842567947,0.48780570399116835,0.3251044693229304,0.15936227997101274,9.661126375198364
