experiment_id,match,gap,egap,algo,init_method,dataset,scene,image_filename,img_res,preprocessing_method,kernel_size,kernel_spec,are_occlusions_errors,abs_error,mse,avg,eucledian,bad1,bad2,bad4,bad8,runtime
ALG_005_EXP_002-PatchMatch-MacLean_et_al-Numba_rgb,20,-20,-1,components.matchers.NumbaPatchMatcher,maclean_et_al,middlebury,teddy,..\..\experiments\disparities\ALG_005_EXP_002-PatchMatch-MacLean_et_al-Numba_rgb\ALG_005_EXP_002-PatchMatch-MacLean_et_al-Numba_rgb_0001.png,450x375,None,5x5,None,False,47652501.0,12862.812598627845,107.57913593541527,75482.59023774952,1.0,1.0,1.0,1.0,23.619182109832764
ALG_005_EXP_002-PatchMatch-MacLean_et_al-Numba_rgb,20,-20,-1,components.matchers.NumbaPatchMatcher,maclean_et_al,middlebury,teddy,..\..\experiments\disparities\ALG_005_EXP_002-PatchMatch-MacLean_et_al-Numba_rgb\ALG_005_EXP_002-PatchMatch-MacLean_et_al-Numba_rgb_0001.png,450x375,None,5x5,None,True,53285268.0,13029.23443245597,107.42304528740081,80392.2708598283,0.9835978323979098,0.9835978323979098,0.9835978323979098,0.9835978323979098,23.619182109832764
ALG_005_EXP_002-PatchMatch-MacLean_et_al-Numba_rgb,20,-20,-1,components.matchers.NumbaPatchMatcher,maclean_et_al,middlebury,cones,..\..\experiments\disparities\ALG_005_EXP_002-PatchMatch-MacLean_et_al-Numba_rgb\ALG_005_EXP_002-PatchMatch-MacLean_et_al-Numba_rgb_0002.png,450x375,None,5x5,None,False,57479472.0,19787.054903214153,133.1227436321443,92431.67742716779,1.0,1.0,1.0,1.0,0.030916452407836914
ALG_005_EXP_002-PatchMatch-MacLean_et_al-Numba_rgb,20,-20,-1,components.matchers.NumbaPatchMatcher,maclean_et_al,middlebury,cones,..\..\experiments\disparities\ALG_005_EXP_002-PatchMatch-MacLean_et_al-Numba_rgb\ALG_005_EXP_002-PatchMatch-MacLean_et_al-Numba_rgb_0002.png,450x375,None,5x5,None,True,65379780.0,20051.0920457259,133.43819839457265,99117.57267003666,0.9944832568989903,0.9944832568989903,0.9944832568989903,0.9944832568989903,0.030916452407836914
ALG_005_EXP_002-PatchMatch-MacLean_et_al-Numba_rgb,20,-20,-1,components.matchers.NumbaPatchMatcher,maclean_et_al,middlebury,teddy,..\..\experiments\disparities\ALG_005_EXP_002-PatchMatch-MacLean_et_al-Numba_rgb\ALG_005_EXP_002-PatchMatch-MacLean_et_al-Numba_rgb_0003.png,450x375,None,7x7,None,False,47652501.0,12862.812598627845,107.57913593541527,75482.59023774952,1.0,1.0,1.0,1.0,0.027925491333007812
ALG_005_EXP_002-PatchMatch-MacLean_et_al-Numba_rgb,20,-20,-1,components.matchers.NumbaPatchMatcher,maclean_et_al,middlebury,teddy,..\..\experiments\disparities\ALG_005_EXP_002-PatchMatch-MacLean_et_al-Numba_rgb\ALG_005_EXP_002-PatchMatch-MacLean_et_al-Numba_rgb_0003.png,450x375,None,7x7,None,True,53285268.0,13029.23443245597,107.42304528740081,80392.2708598283,0.9835978323979098,0.9835978323979098,0.9835978323979098,0.9835978323979098,0.027925491333007812
ALG_005_EXP_002-PatchMatch-MacLean_et_al-Numba_rgb,20,-20,-1,components.matchers.NumbaPatchMatcher,maclean_et_al,middlebury,cones,..\..\experiments\disparities\ALG_005_EXP_002-PatchMatch-MacLean_et_al-Numba_rgb\ALG_005_EXP_002-PatchMatch-MacLean_et_al-Numba_rgb_0004.png,450x375,None,7x7,None,False,57479472.0,19787.054903214153,133.1227436321443,92431.67742716779,1.0,1.0,1.0,1.0,0.02593255043029785
ALG_005_EXP_002-PatchMatch-MacLean_et_al-Numba_rgb,20,-20,-1,components.matchers.NumbaPatchMatcher,maclean_et_al,middlebury,cones,..\..\experiments\disparities\ALG_005_EXP_002-PatchMatch-MacLean_et_al-Numba_rgb\ALG_005_EXP_002-PatchMatch-MacLean_et_al-Numba_rgb_0004.png,450x375,None,7x7,None,True,65379780.0,20051.0920457259,133.43819839457265,99117.57267003666,0.9944832568989903,0.9944832568989903,0.9944832568989903,0.9944832568989903,0.02593255043029785
ALG_005_EXP_002-PatchMatch-MacLean_et_al-Numba_rgb,20,-20,-1,components.matchers.NumbaPatchMatcher,maclean_et_al,middlebury,teddy,..\..\experiments\disparities\ALG_005_EXP_002-PatchMatch-MacLean_et_al-Numba_rgb\ALG_005_EXP_002-PatchMatch-MacLean_et_al-Numba_rgb_0005.png,450x375,None,5x3,None,False,47652501.0,12862.812598627845,107.57913593541527,75482.59023774952,1.0,1.0,1.0,1.0,0.026927471160888672
ALG_005_EXP_002-PatchMatch-MacLean_et_al-Numba_rgb,20,-20,-1,components.matchers.NumbaPatchMatcher,maclean_et_al,middlebury,teddy,..\..\experiments\disparities\ALG_005_EXP_002-PatchMatch-MacLean_et_al-Numba_rgb\ALG_005_EXP_002-PatchMatch-MacLean_et_al-Numba_rgb_0005.png,450x375,None,5x3,None,True,53285268.0,13029.23443245597,107.42304528740081,80392.2708598283,0.9835978323979098,0.9835978323979098,0.9835978323979098,0.9835978323979098,0.026927471160888672
ALG_005_EXP_002-PatchMatch-MacLean_et_al-Numba_rgb,20,-20,-1,components.matchers.NumbaPatchMatcher,maclean_et_al,middlebury,cones,..\..\experiments\disparities\ALG_005_EXP_002-PatchMatch-MacLean_et_al-Numba_rgb\ALG_005_EXP_002-PatchMatch-MacLean_et_al-Numba_rgb_0006.png,450x375,None,5x3,None,False,57479472.0,19787.054903214153,133.1227436321443,92431.67742716779,1.0,1.0,1.0,1.0,0.027926206588745117
ALG_005_EXP_002-PatchMatch-MacLean_et_al-Numba_rgb,20,-20,-1,components.matchers.NumbaPatchMatcher,maclean_et_al,middlebury,cones,..\..\experiments\disparities\ALG_005_EXP_002-PatchMatch-MacLean_et_al-Numba_rgb\ALG_005_EXP_002-PatchMatch-MacLean_et_al-Numba_rgb_0006.png,450x375,None,5x3,None,True,65379780.0,20051.0920457259,133.43819839457265,99117.57267003666,0.9944832568989903,0.9944832568989903,0.9944832568989903,0.9944832568989903,0.027926206588745117
ALG_005_EXP_002-PatchMatch-MacLean_et_al-Numba_rgb,20,-20,-1,components.matchers.NumbaPatchMatcher,maclean_et_al,middlebury,teddy,..\..\experiments\disparities\ALG_005_EXP_002-PatchMatch-MacLean_et_al-Numba_rgb\ALG_005_EXP_002-PatchMatch-MacLean_et_al-Numba_rgb_0007.png,450x375,None,3x5,None,False,47652501.0,12862.812598627845,107.57913593541527,75482.59023774952,1.0,1.0,1.0,1.0,0.026972055435180664
