experiment_id,match,gap,egap,algo,init_method,dataset,scene,image_filename,img_res,preprocessing_method,kernel_size,kernel_spec,are_occlusions_errors,abs_error,mse,avg,eucledian,bad1,bad2,bad4,bad8,runtime
ALG_005_EXP_002-PatchMatch-MacLean_et_al-Numba,10,-20,-1,components.matchers.NumbaPatchMatcher,maclean_et_al,middlebury,teddy,experiments\disparities\ALG_005_EXP_002-PatchMatch-MacLean_et_al-Numba\ALG_005_EXP_002-PatchMatch-MacLean_et_al-Numba_0001.png,450x375,None,3x3,gauss_3_3,FALSE,1223545,603.8143934,8.286736968,9442.128944,0.594225572,0.408896655,0.237783693,0.117242687,48.5190475
ALG_005_EXP_002-PatchMatch-MacLean_et_al-Numba,10,-20,-1,components.matchers.NumbaPatchMatcher,maclean_et_al,middlebury,teddy,experiments\disparities\ALG_005_EXP_002-PatchMatch-MacLean_et_al-Numba\ALG_005_EXP_002-PatchMatch-MacLean_et_al-Numba_0001.png,450x375,None,3x3,gauss_3_3,TRUE,3238504,2159.334829,19.58646216,18895.31841,0.637368154,0.470667215,0.317459357,0.208516789,48.5190475
ALG_005_EXP_002-PatchMatch-MacLean_et_al-Numba,10,-20,-1,components.matchers.NumbaPatchMatcher,maclean_et_al,middlebury,cones,experiments\disparities\ALG_005_EXP_002-PatchMatch-MacLean_et_al-Numba\ALG_005_EXP_002-PatchMatch-MacLean_et_al-Numba_0002.png,450x375,None,3x3,gauss_3_3,FALSE,1573178,1269.184164,10.93046427,13515.49481,0.431569001,0.249016856,0.139015883,0.102587441,38.51326466
ALG_005_EXP_002-PatchMatch-MacLean_et_al-Numba,10,-20,-1,components.matchers.NumbaPatchMatcher,maclean_et_al,middlebury,cones,experiments\disparities\ALG_005_EXP_002-PatchMatch-MacLean_et_al-Numba\ALG_005_EXP_002-PatchMatch-MacLean_et_al-Numba_0002.png,450x375,None,3x3,gauss_3_3,TRUE,4004440,3525.816692,24.51883101,23996.66452,0.498521317,0.335774334,0.238217988,0.204695048,38.51326466
ALG_005_EXP_002-PatchMatch-MacLean_et_al-Numba,10,-20,-1,components.matchers.NumbaPatchMatcher,maclean_et_al,middlebury,teddy,experiments\disparities\ALG_005_EXP_002-PatchMatch-MacLean_et_al-Numba\ALG_005_EXP_002-PatchMatch-MacLean_et_al-Numba_0003.png,450x375,None,5x5,gauss_5_5,FALSE,1330437,714.0437857,9.010687364,10267.87607,0.595017982,0.410014155,0.241840556,0.123040142,38.52353787
ALG_005_EXP_002-PatchMatch-MacLean_et_al-Numba,10,-20,-1,components.matchers.NumbaPatchMatcher,maclean_et_al,middlebury,teddy,experiments\disparities\ALG_005_EXP_002-PatchMatch-MacLean_et_al-Numba\ALG_005_EXP_002-PatchMatch-MacLean_et_al-Numba_0003.png,450x375,None,5x5,gauss_5_5,TRUE,3341978,2254.185323,20.2122726,19305.8545,0.638063673,0.471634895,0.321063964,0.213736211,38.52353787
ALG_005_EXP_002-PatchMatch-MacLean_et_al-Numba,10,-20,-1,components.matchers.NumbaPatchMatcher,maclean_et_al,middlebury,cones,experiments\disparities\ALG_005_EXP_002-PatchMatch-MacLean_et_al-Numba\ALG_005_EXP_002-PatchMatch-MacLean_et_al-Numba_0004.png,450x375,None,5x5,gauss_5_5,FALSE,1647402,1345.829385,11.44617373,13917.60899,0.422897878,0.239803788,0.138786599,0.106082292,41.26900315
ALG_005_EXP_002-PatchMatch-MacLean_et_al-Numba,10,-20,-1,components.matchers.NumbaPatchMatcher,maclean_et_al,middlebury,cones,experiments\disparities\ALG_005_EXP_002-PatchMatch-MacLean_et_al-Numba\ALG_005_EXP_002-PatchMatch-MacLean_et_al-Numba_0004.png,450x375,None,5x5,gauss_5_5,TRUE,4085326,3597.263916,25.01408882,24238.57958,0.490922784,0.327679845,0.238015932,0.207774873,41.26900315
ALG_005_EXP_002-PatchMatch-MacLean_et_al-Numba,10,-20,-1,components.matchers.NumbaPatchMatcher,maclean_et_al,middlebury,teddy,experiments\disparities\ALG_005_EXP_002-PatchMatch-MacLean_et_al-Numba\ALG_005_EXP_002-PatchMatch-MacLean_et_al-Numba_0005.png,450x375,None,5x3,gauss_5_3,FALSE,1245621,639.2407976,8.436251702,9715.170765,0.595444663,0.410806564,0.240079647,0.118041869,33.70783377
ALG_005_EXP_002-PatchMatch-MacLean_et_al-Numba,10,-20,-1,components.matchers.NumbaPatchMatcher,maclean_et_al,middlebury,teddy,experiments\disparities\ALG_005_EXP_002-PatchMatch-MacLean_et_al-Numba\ALG_005_EXP_002-PatchMatch-MacLean_et_al-Numba_0005.png,450x375,None,5x3,gauss_5_3,TRUE,3261224,2190.76085,19.72387265,19032.31888,0.638450745,0.472384846,0.319551964,0.209296981,33.70783377
