experiment_id,match,gap,egap,algo,init_method,dataset,scene,image_filename,img_res,preprocessing_method,kernel_size,kernel_spec,are_occlusions_errors,abs_error,mse,avg,eucledian,bad1,bad2,bad4,bad8,runtime
ALG_005_EXP_009-PatchMatch-MacLean_et_al-Numba_H,20,-20,-1,components.matchers.NumbaPatchMatcher,maclean_et_al,middlebury,teddy,experiments\disparities\ALG_005_EXP_009-PatchMatch-MacLean_et_al-Numba_H\ALG_005_EXP_009-PatchMatch-MacLean_et_al-Numba_H_0001.png,900x750,None,5x3,None,False,3457857.0,374.2911486332748,5.8714626285815195,14846.87808934929,0.4226252534274255,0.25042704855958137,0.14608796351324274,0.099822388551363,276.52929043769836
ALG_005_EXP_009-PatchMatch-MacLean_et_al-Numba_H,20,-20,-1,components.matchers.NumbaPatchMatcher,maclean_et_al,middlebury,teddy,experiments\disparities\ALG_005_EXP_009-PatchMatch-MacLean_et_al-Numba_H\ALG_005_EXP_009-PatchMatch-MacLean_et_al-Numba_H_0001.png,900x750,None,5x3,None,True,11331352.0,1919.2118259920078,17.18446758013027,35574.12939201745,0.48245740413560917,0.3284586628652022,0.23426322613911238,0.1915255651013429,276.52929043769836
ALG_005_EXP_009-PatchMatch-MacLean_et_al-Numba_H,20,-20,-1,components.matchers.NumbaPatchMatcher,maclean_et_al,middlebury,cones,experiments\disparities\ALG_005_EXP_009-PatchMatch-MacLean_et_al-Numba_H\ALG_005_EXP_009-PatchMatch-MacLean_et_al-Numba_H_0002.png,900x750,None,5x3,None,False,3825260.0,722.9925819565722,6.665714071629338,20369.204108162892,0.2594137009885497,0.14954057619221045,0.10525884737162185,0.07384586431445395,264.2091519832611
ALG_005_EXP_009-PatchMatch-MacLean_et_al-Numba_H,20,-20,-1,components.matchers.NumbaPatchMatcher,maclean_et_al,middlebury,cones,experiments\disparities\ALG_005_EXP_009-PatchMatch-MacLean_et_al-Numba_H\ALG_005_EXP_009-PatchMatch-MacLean_et_al-Numba_H_0002.png,900x750,None,5x3,None,True,13146200.0,2959.173146232294,20.178853202841513,43907.333761001704,0.3436584781821196,0.24663076913631032,0.20647629105242798,0.17695753080658927,264.2091519832611
ALG_005_EXP_009-PatchMatch-MacLean_et_al-Numba_H,20,-20,-1,components.matchers.NumbaPatchMatcher,maclean_et_al,middlebury,teddy,experiments\disparities\ALG_005_EXP_009-PatchMatch-MacLean_et_al-Numba_H\ALG_005_EXP_009-PatchMatch-MacLean_et_al-Numba_H_0003.png,900x750,None,7x3,None,False,3475099.0,379.7429982714297,5.900739651501207,14954.615508263661,0.42642539130552903,0.2555482352621552,0.14932606133877602,0.10065101557750888,239.9904956817627
ALG_005_EXP_009-PatchMatch-MacLean_et_al-Numba_H,20,-20,-1,components.matchers.NumbaPatchMatcher,maclean_et_al,middlebury,teddy,experiments\disparities\ALG_005_EXP_009-PatchMatch-MacLean_et_al-Numba_H\ALG_005_EXP_009-PatchMatch-MacLean_et_al-Numba_H_0003.png,900x750,None,7x3,None,True,11343420.0,1923.9319224440585,17.20276920510468,35617.84791365138,0.4858347424533095,0.33303558565048264,0.23710219216099607,0.19214734718946913,239.9904956817627
ALG_005_EXP_009-PatchMatch-MacLean_et_al-Numba_H,20,-20,-1,components.matchers.NumbaPatchMatcher,maclean_et_al,middlebury,cones,experiments\disparities\ALG_005_EXP_009-PatchMatch-MacLean_et_al-Numba_H\ALG_005_EXP_009-PatchMatch-MacLean_et_al-Numba_H_0004.png,900x750,None,7x3,None,False,3746278.0,709.6755263813644,6.528083837656895,20180.73844040401,0.252370306218645,0.144840913724513,0.10282798747453696,0.07169381272097736,261.8100643157959
ALG_005_EXP_009-PatchMatch-MacLean_et_al-Numba_H,20,-20,-1,components.matchers.NumbaPatchMatcher,maclean_et_al,middlebury,cones,experiments\disparities\ALG_005_EXP_009-PatchMatch-MacLean_et_al-Numba_H\ALG_005_EXP_009-PatchMatch-MacLean_et_al-Numba_H_0004.png,900x750,None,7x3,None,True,13115918.0,2958.719560265486,20.132371631536614,43903.96854499602,0.33747874084398083,0.24253550355803058,0.20437800467854927,0.17515242124135053,261.8100643157959
ALG_005_EXP_009-PatchMatch-MacLean_et_al-Numba_H,20,-20,-1,components.matchers.NumbaPatchMatcher,maclean_et_al,middlebury,teddy,experiments\disparities\ALG_005_EXP_009-PatchMatch-MacLean_et_al-Numba_H\ALG_005_EXP_009-PatchMatch-MacLean_et_al-Numba_H_0005.png,900x750,None,7x5,None,False,3620587.0,407.70770011852085,6.147779177689557,15495.472403253796,0.3999144204874636,0.24880545263751302,0.15293432451615313,0.1032659451272316,289.65495896339417
ALG_005_EXP_009-PatchMatch-MacLean_et_al-Numba_H,20,-20,-1,components.matchers.NumbaPatchMatcher,maclean_et_al,middlebury,teddy,experiments\disparities\ALG_005_EXP_009-PatchMatch-MacLean_et_al-Numba_H\ALG_005_EXP_009-PatchMatch-MacLean_et_al-Numba_H_0005.png,900x750,None,7x5,None,True,11499272.0,1951.7070617763252,17.439125258759923,35874.02790320596,0.46207205089513875,0.32694818735355896,0.24048711318708815,0.1946617732921845,289.65495896339417
