experiment_id,match,gap,egap,algo,init_method,dataset,scene,image_filename,img_res,preprocessing_method,kernel_size,kernel_spec,are_occlusions_errors,abs_error,mse,avg,eucledian,bad1,bad2,bad4,bad8,runtime
ALG_006_EXP_001-PatchMatchBilateralRGB_eucledian_distance_norm,30,-20,-1,components.matchers.NumbaPatchMatcherBAW_RGB,maclean_et_al,middlebury,teddy,..\..\experiments\disparities\ALG_006_EXP_001-PatchMatchBilateralRGB_eucledian_distance_norm\ALG_006_EXP_001-PatchMatchBilateralRGB_eucledian_distance_norm_0001.png,450x375,None,3x5,bilateral_gamma_s_90_gamma_c_8,False,1094843.0,585.5163798416536,7.415073382503335,9297.961013039365,0.526505069386594,0.31760705989123,0.18177323553514707,0.10820109582732254,256.0728979110718
ALG_006_EXP_001-PatchMatchBilateralRGB_eucledian_distance_norm,30,-20,-1,components.matchers.NumbaPatchMatcherBAW_RGB,maclean_et_al,middlebury,teddy,..\..\experiments\disparities\ALG_006_EXP_001-PatchMatchBilateralRGB_eucledian_distance_norm\ALG_006_EXP_001-PatchMatchBilateralRGB_eucledian_distance_norm_0001.png,450x375,None,3x5,bilateral_gamma_s_90_gamma_c_8,True,3034244.0,2085.4403546545386,18.35109831623766,18569.196266936273,0.5688987807238243,0.38063673311399265,0.26323301722469516,0.19779973872653378,256.0728979110718
ALG_006_EXP_001-PatchMatchBilateralRGB_eucledian_distance_norm,30,-20,-1,components.matchers.NumbaPatchMatcherBAW_RGB,maclean_et_al,middlebury,cones,..\..\experiments\disparities\ALG_006_EXP_001-PatchMatchBilateralRGB_eucledian_distance_norm\ALG_006_EXP_001-PatchMatchBilateralRGB_eucledian_distance_norm_0002.png,450x375,None,3x5,bilateral_gamma_s_90_gamma_c_8,False,1071866.0,748.7088086933563,7.447340994677821,10380.687067819741,0.39582841182274225,0.21069855342328697,0.1166085349415672,0.08423078526464989,18.617367267608643
ALG_006_EXP_001-PatchMatchBilateralRGB_eucledian_distance_norm,30,-20,-1,components.matchers.NumbaPatchMatcherBAW_RGB,maclean_et_al,middlebury,cones,..\..\experiments\disparities\ALG_006_EXP_001-PatchMatchBilateralRGB_eucledian_distance_norm\ALG_006_EXP_001-PatchMatchBilateralRGB_eucledian_distance_norm_0002.png,450x375,None,3x5,bilateral_gamma_s_90_gamma_c_8,True,3359170.0,2940.1577261956513,20.567900025103935,21913.2265994764,0.4657943559003435,0.3001022526190753,0.21657349636605214,0.18621610203219427,18.617367267608643
ALG_006_EXP_001-PatchMatchBilateralRGB_eucledian_distance_norm,30,-20,-1,components.matchers.NumbaPatchMatcherBAW_RGB,maclean_et_al,middlebury,teddy,..\..\experiments\disparities\ALG_006_EXP_001-PatchMatchBilateralRGB_eucledian_distance_norm\ALG_006_EXP_001-PatchMatchBilateralRGB_eucledian_distance_norm_0003.png,450x375,None,7x3,bilateral_gamma_s_90_gamma_c_8,False,1177599.0,704.8230150828643,7.975557226161692,10201.363781377468,0.5292886604222118,0.32433915110632505,0.19546769070307685,0.11311809605082254,19.770787715911865
ALG_006_EXP_001-PatchMatchBilateralRGB_eucledian_distance_norm,30,-20,-1,components.matchers.NumbaPatchMatcherBAW_RGB,maclean_et_al,middlebury,teddy,..\..\experiments\disparities\ALG_006_EXP_001-PatchMatchBilateralRGB_eucledian_distance_norm\ALG_006_EXP_001-PatchMatchBilateralRGB_eucledian_distance_norm_0003.png,450x375,None,7x3,bilateral_gamma_s_90_gamma_c_8,True,3117278.0,2190.8144111670213,18.8532876911167,19032.551536775096,0.571396603444939,0.3868359299400039,0.27564350687052447,0.20192447261467003,19.770787715911865
ALG_006_EXP_001-PatchMatchBilateralRGB_eucledian_distance_norm,30,-20,-1,components.matchers.NumbaPatchMatcherBAW_RGB,maclean_et_al,middlebury,cones,..\..\experiments\disparities\ALG_006_EXP_001-PatchMatchBilateralRGB_eucledian_distance_norm\ALG_006_EXP_001-PatchMatchBilateralRGB_eucledian_distance_norm_0004.png,450x375,None,7x3,bilateral_gamma_s_90_gamma_c_8,False,965932.0,671.1128218667926,6.711309978739075,9828.050874919198,0.38157803315592737,0.19362728068590804,0.10458846907438545,0.07509414560260133,19.66258978843689
ALG_006_EXP_001-PatchMatchBilateralRGB_eucledian_distance_norm,30,-20,-1,components.matchers.NumbaPatchMatcherBAW_RGB,maclean_et_al,middlebury,cones,..\..\experiments\disparities\ALG_006_EXP_001-PatchMatchBilateralRGB_eucledian_distance_norm\ALG_006_EXP_001-PatchMatchBilateralRGB_eucledian_distance_norm_0004.png,450x375,None,7x3,bilateral_gamma_s_90_gamma_c_8,True,3277706.0,2894.3649622522516,20.069103177178686,21741.908379900786,0.4531811585772803,0.2850705053238714,0.2060604576263922,0.17844000465341261,19.66258978843689
ALG_006_EXP_001-PatchMatchBilateralRGB_eucledian_distance_norm,30,-20,-1,components.matchers.NumbaPatchMatcherBAW_RGB,maclean_et_al,middlebury,teddy,..\..\experiments\disparities\ALG_006_EXP_001-PatchMatchBilateralRGB_eucledian_distance_norm\ALG_006_EXP_001-PatchMatchBilateralRGB_eucledian_distance_norm_0005.png,450x375,None,5x7,bilateral_gamma_s_90_gamma_c_8,False,1259827.0,771.5530744796852,8.532465069657503,10673.358562327043,0.5369418425882656,0.33336042424365564,0.2001544181888372,0.11800123263641966,26.39265203475952
ALG_006_EXP_001-PatchMatchBilateralRGB_eucledian_distance_norm,30,-20,-1,components.matchers.NumbaPatchMatcherBAW_RGB,maclean_et_al,middlebury,teddy,..\..\experiments\disparities\ALG_006_EXP_001-PatchMatchBilateralRGB_eucledian_distance_norm\ALG_006_EXP_001-PatchMatchBilateralRGB_eucledian_distance_norm_0005.png,450x375,None,5x7,bilateral_gamma_s_90_gamma_c_8,True,3181818.0,2237.0144305206118,19.24362541126379,19232.18432731966,0.5776865202245016,0.39425077414360366,0.2796775208051093,0.20607339849041997,26.39265203475952
ALG_006_EXP_001-PatchMatchBilateralRGB_eucledian_distance_norm,30,-20,-1,components.matchers.NumbaPatchMatcherBAW_RGB,maclean_et_al,middlebury,cones,..\..\experiments\disparities\ALG_006_EXP_001-PatchMatchBilateralRGB_eucledian_distance_norm\ALG_006_EXP_001-PatchMatchBilateralRGB_eucledian_distance_norm_0006.png,450x375,None,5x7,bilateral_gamma_s_90_gamma_c_8,False,1144948.0,805.7009852285203,7.955115823409252,10768.53379063278,0.40090741075274794,0.21705598710448426,0.12488362074955185,0.09053958284118227,25.23678159713745
ALG_006_EXP_001-PatchMatchBilateralRGB_eucledian_distance_norm,30,-20,-1,components.matchers.NumbaPatchMatcherBAW_RGB,maclean_et_al,middlebury,cones,..\..\experiments\disparities\ALG_006_EXP_001-PatchMatchBilateralRGB_eucledian_distance_norm\ALG_006_EXP_001-PatchMatchBilateralRGB_eucledian_distance_norm_0006.png,450x375,None,5x7,bilateral_gamma_s_90_gamma_c_8,True,3411606.0,2972.481848629386,20.88896100317779,22033.354442753378,0.4699334439539312,0.30537407926721,0.2233270675540806,0.1911756602029133,25.23678159713745
ALG_006_EXP_001-PatchMatchBilateralRGB_eucledian_distance_norm,30,-20,-1,components.matchers.NumbaPatchMatcherBAW_RGB,maclean_et_al,middlebury,teddy,..\..\experiments\disparities\ALG_006_EXP_001-PatchMatchBilateralRGB_eucledian_distance_norm\ALG_006_EXP_001-PatchMatchBilateralRGB_eucledian_distance_norm_0007.png,450x375,None,3x3,bilateral_gamma_s_90_gamma_c_8,False,1046019.0,519.6651495756886,7.084401731109169,8759.513628050361,0.5341447060974867,0.3278338785379036,0.18427914473996113,0.10314864105221096,17.159197092056274
ALG_006_EXP_001-PatchMatchBilateralRGB_eucledian_distance_norm,30,-20,-1,components.matchers.NumbaPatchMatcherBAW_RGB,maclean_et_al,middlebury,teddy,..\..\experiments\disparities\ALG_006_EXP_001-PatchMatchBilateralRGB_eucledian_distance_norm\ALG_006_EXP_001-PatchMatchBilateralRGB_eucledian_distance_norm_0007.png,450x375,None,3x3,bilateral_gamma_s_90_gamma_c_8,True,2992954.0,2032.0862807238243,18.10137652409522,18330.11931221398,0.5759507451132185,0.3901260402554674,0.2659122798529127,0.1937173408167215,17.159197092056274
ALG_006_EXP_001-PatchMatchBilateralRGB_eucledian_distance_norm,30,-20,-1,components.matchers.NumbaPatchMatcherBAW_RGB,maclean_et_al,middlebury,cones,..\..\experiments\disparities\ALG_006_EXP_001-PatchMatchBilateralRGB_eucledian_distance_norm\ALG_006_EXP_001-PatchMatchBilateralRGB_eucledian_distance_norm_0008.png,450x375,None,3x3,bilateral_gamma_s_90_gamma_c_8,False,983202.0,682.3672720703695,6.831302196962328,9910.1156400922,0.38836624376415657,0.201158928894015,0.10745105123466225,0.0767616691911121,16.458089590072632
ALG_006_EXP_001-PatchMatchBilateralRGB_eucledian_distance_norm,30,-20,-1,components.matchers.NumbaPatchMatcherBAW_RGB,maclean_et_al,middlebury,cones,..\..\experiments\disparities\ALG_006_EXP_001-PatchMatchBilateralRGB_eucledian_distance_norm\ALG_006_EXP_001-PatchMatchBilateralRGB_eucledian_distance_norm_0008.png,450x375,None,3x3,bilateral_gamma_s_90_gamma_c_8,True,3298836.0,2907.92250843431,20.19848029340991,21792.76971841808,0.4593897906576619,0.29192204309304987,0.20882801354387984,0.18008706779899708,16.458089590072632
ALG_006_EXP_001-PatchMatchBilateralRGB_eucledian_distance_norm,40,-20,-1,components.matchers.NumbaPatchMatcherBAW_RGB,maclean_et_al,middlebury,teddy,..\..\experiments\disparities\ALG_006_EXP_001-PatchMatchBilateralRGB_eucledian_distance_norm\ALG_006_EXP_001-PatchMatchBilateralRGB_eucledian_distance_norm_0009.png,450x375,None,3x5,bilateral_gamma_s_90_gamma_c_8,False,1271883.0,805.0651807302355,8.614117073368957,10902.691364979566,0.5355872970721499,0.3295880149812734,0.19298209968100452,0.11605745982079363,19.086183309555054
ALG_006_EXP_001-PatchMatchBilateralRGB_eucledian_distance_norm,40,-20,-1,components.matchers.NumbaPatchMatcherBAW_RGB,maclean_et_al,middlebury,teddy,..\..\experiments\disparities\ALG_006_EXP_001-PatchMatchBilateralRGB_eucledian_distance_norm\ALG_006_EXP_001-PatchMatchBilateralRGB_eucledian_distance_norm_0009.png,450x375,None,3x5,bilateral_gamma_s_90_gamma_c_8,True,3205062.0,2276.243673795239,19.384205051287015,19400.083350336412,0.5769184246177665,0.39129935165473195,0.27326664408747825,0.20462792723050124,19.086183309555054
ALG_006_EXP_001-PatchMatchBilateralRGB_eucledian_distance_norm,40,-20,-1,components.matchers.NumbaPatchMatcherBAW_RGB,maclean_et_al,middlebury,cones,..\..\experiments\disparities\ALG_006_EXP_001-PatchMatchBilateralRGB_eucledian_distance_norm\ALG_006_EXP_001-PatchMatchBilateralRGB_eucledian_distance_norm_0010.png,450x375,None,3x5,bilateral_gamma_s_90_gamma_c_8,False,1063884.0,716.9432069257813,7.3918819393299335,10158.088796619175,0.4102733349082167,0.2269847004710754,0.127711462835068,0.08881647513305449,20.602596282958984
ALG_006_EXP_001-PatchMatchBilateralRGB_eucledian_distance_norm,40,-20,-1,components.matchers.NumbaPatchMatcherBAW_RGB,maclean_et_al,middlebury,cones,..\..\experiments\disparities\ALG_006_EXP_001-PatchMatchBilateralRGB_eucledian_distance_norm\ALG_006_EXP_001-PatchMatchBilateralRGB_eucledian_distance_norm_0010.png,450x375,None,3x5,bilateral_gamma_s_90_gamma_c_8,True,3321492.0,2886.8769356053417,20.337200972318318,21713.76586407802,0.4778075079138629,0.3137257303102479,0.22543334904880571,0.18907550161951003,20.602596282958984
ALG_006_EXP_001-PatchMatchBilateralRGB_eucledian_distance_norm,40,-20,-1,components.matchers.NumbaPatchMatcherBAW_RGB,maclean_et_al,middlebury,teddy,..\..\experiments\disparities\ALG_006_EXP_001-PatchMatchBilateralRGB_eucledian_distance_norm\ALG_006_EXP_001-PatchMatchBilateralRGB_eucledian_distance_norm_0011.png,450x375,None,7x3,bilateral_gamma_s_90_gamma_c_8,False,1169411.0,694.4075895185268,7.920102132731915,10125.708617178356,0.5350996606863482,0.33134892415222383,0.20007314545787025,0.11386309608468619,19.948015451431274
ALG_006_EXP_001-PatchMatchBilateralRGB_eucledian_distance_norm,40,-20,-1,components.matchers.NumbaPatchMatcherBAW_RGB,maclean_et_al,middlebury,teddy,..\..\experiments\disparities\ALG_006_EXP_001-PatchMatchBilateralRGB_eucledian_distance_norm\ALG_006_EXP_001-PatchMatchBilateralRGB_eucledian_distance_norm_0011.png,450x375,None,7x3,bilateral_gamma_s_90_gamma_c_8,True,3104020.0,2177.4803682020515,18.773103348171087,18974.54384168431,0.5765494968066577,0.3931016547319528,0.2799012966905361,0.2025111283143023,19.948015451431274
ALG_006_EXP_001-PatchMatchBilateralRGB_eucledian_distance_norm,40,-20,-1,components.matchers.NumbaPatchMatcherBAW_RGB,maclean_et_al,middlebury,cones,..\..\experiments\disparities\ALG_006_EXP_001-PatchMatchBilateralRGB_eucledian_distance_norm\ALG_006_EXP_001-PatchMatchBilateralRGB_eucledian_distance_norm_0012.png,450x375,None,7x3,bilateral_gamma_s_90_gamma_c_8,False,977796.0,660.1455192251574,6.793741228131123,9747.415247130903,0.3955296471798007,0.21010102413740395,0.11530230813056709,0.07988132790461765,20.198155164718628
ALG_006_EXP_001-PatchMatchBilateralRGB_eucledian_distance_norm,40,-20,-1,components.matchers.NumbaPatchMatcherBAW_RGB,maclean_et_al,middlebury,cones,..\..\experiments\disparities\ALG_006_EXP_001-PatchMatchBilateralRGB_eucledian_distance_norm\ALG_006_EXP_001-PatchMatchBilateralRGB_eucledian_distance_norm_0012.png,450x375,None,7x3,bilateral_gamma_s_90_gamma_c_8,True,3257972.0,2856.006049436386,19.948273645152796,21597.355486262662,0.4649065337586716,0.29894502237924087,0.21471213132420203,0.18177086841251278,20.198155164718628
ALG_006_EXP_001-PatchMatchBilateralRGB_eucledian_distance_norm,40,-20,-1,components.matchers.NumbaPatchMatcherBAW_RGB,maclean_et_al,middlebury,teddy,..\..\experiments\disparities\ALG_006_EXP_001-PatchMatchBilateralRGB_eucledian_distance_norm\ALG_006_EXP_001-PatchMatchBilateralRGB_eucledian_distance_norm_0013.png,450x375,None,5x7,bilateral_gamma_s_90_gamma_c_8,False,1323899.0,850.5353773425171,8.96640727120033,11206.355295099294,0.5447237065783503,0.34338406106291186,0.20807173673053347,0.12211227827783083,23.66136860847473
ALG_006_EXP_001-PatchMatchBilateralRGB_eucledian_distance_norm,40,-20,-1,components.matchers.NumbaPatchMatcherBAW_RGB,maclean_et_al,middlebury,teddy,..\..\experiments\disparities\ALG_006_EXP_001-PatchMatchBilateralRGB_eucledian_distance_norm\ALG_006_EXP_001-PatchMatchBilateralRGB_eucledian_distance_norm_0013.png,450x375,None,5x7,bilateral_gamma_s_90_gamma_c_8,True,3240640.0,2302.972094542288,19.59938068511709,19513.65209282978,0.5846175246758274,0.4032441455389975,0.28660852525643504,0.20966590865105478,23.66136860847473
ALG_006_EXP_001-PatchMatchBilateralRGB_eucledian_distance_norm,40,-20,-1,components.matchers.NumbaPatchMatcherBAW_RGB,maclean_et_al,middlebury,cones,..\..\experiments\disparities\ALG_006_EXP_001-PatchMatchBilateralRGB_eucledian_distance_norm\ALG_006_EXP_001-PatchMatchBilateralRGB_eucledian_distance_norm_0014.png,450x375,None,5x7,bilateral_gamma_s_90_gamma_c_8,False,1132268.0,773.4375720856551,7.867014993816267,10550.723956203195,0.41489376485138196,0.2332448619429429,0.13473590595166962,0.09460417158817726,24.835908889770508
ALG_006_EXP_001-PatchMatchBilateralRGB_eucledian_distance_norm,40,-20,-1,components.matchers.NumbaPatchMatcherBAW_RGB,maclean_et_al,middlebury,cones,..\..\experiments\disparities\ALG_006_EXP_001-PatchMatchBilateralRGB_eucledian_distance_norm\ALG_006_EXP_001-PatchMatchBilateralRGB_eucledian_distance_norm_0014.png,450x375,None,5x7,bilateral_gamma_s_90_gamma_c_8,True,3372370.0,2920.5250763833187,20.64872245455269,21839.942216040774,0.48171392533721935,0.31894857366780754,0.23111541075550604,0.19373503713545717,24.835908889770508
ALG_006_EXP_001-PatchMatchBilateralRGB_eucledian_distance_norm,40,-20,-1,components.matchers.NumbaPatchMatcherBAW_RGB,maclean_et_al,middlebury,teddy,..\..\experiments\disparities\ALG_006_EXP_001-PatchMatchBilateralRGB_eucledian_distance_norm\ALG_006_EXP_001-PatchMatchBilateralRGB_eucledian_distance_norm_0015.png,450x375,None,3x3,bilateral_gamma_s_90_gamma_c_8,False,1233393.0,778.7535675342531,8.353434788792491,10723.047281440104,0.5305822513901023,0.32402083291003786,0.18761132670960576,0.10924409587473163,17.546772003173828
ALG_006_EXP_001-PatchMatchBilateralRGB_eucledian_distance_norm,40,-20,-1,components.matchers.NumbaPatchMatcherBAW_RGB,maclean_et_al,middlebury,teddy,..\..\experiments\disparities\ALG_006_EXP_001-PatchMatchBilateralRGB_eucledian_distance_norm\ALG_006_EXP_001-PatchMatchBilateralRGB_eucledian_distance_norm_0015.png,450x375,None,3x3,bilateral_gamma_s_90_gamma_c_8,True,3175688.0,2259.8935673504934,19.20655119024579,19330.28302948511,0.5727271627636926,0.3866847300174182,0.2688878943293981,0.1988460421908264,17.546772003173828
ALG_006_EXP_001-PatchMatchBilateralRGB_eucledian_distance_norm,40,-20,-1,components.matchers.NumbaPatchMatcherBAW_RGB,maclean_et_al,middlebury,cones,..\..\experiments\disparities\ALG_006_EXP_001-PatchMatchBilateralRGB_eucledian_distance_norm\ALG_006_EXP_001-PatchMatchBilateralRGB_eucledian_distance_norm_0016.png,450x375,None,3x3,bilateral_gamma_s_90_gamma_c_8,False,1007664.0,684.4726317691036,7.001264538721287,9925.392082935565,0.4025540902964023,0.2177368925697928,0.11904728818976418,0.08303572669288384,18.32062029838562
ALG_006_EXP_001-PatchMatchBilateralRGB_eucledian_distance_norm,40,-20,-1,components.matchers.NumbaPatchMatcherBAW_RGB,maclean_et_al,middlebury,cones,..\..\experiments\disparities\ALG_006_EXP_001-PatchMatchBilateralRGB_eucledian_distance_norm\ALG_006_EXP_001-PatchMatchBilateralRGB_eucledian_distance_norm_0016.png,450x375,None,3x3,bilateral_gamma_s_90_gamma_c_8,True,3289276.0,2878.3832820029265,20.139945261172784,21681.799648553162,0.47144580305043443,0.30609658280319124,0.21844710723054597,0.18491192192063483,18.32062029838562
ALG_006_EXP_001-PatchMatchBilateralRGB_eucledian_distance_norm,50,-20,-1,components.matchers.NumbaPatchMatcherBAW_RGB,maclean_et_al,middlebury,teddy,..\..\experiments\disparities\ALG_006_EXP_001-PatchMatchBilateralRGB_eucledian_distance_norm\ALG_006_EXP_001-PatchMatchBilateralRGB_eucledian_distance_norm_0017.png,450x375,None,3x5,bilateral_gamma_s_90_gamma_c_8,False,1267487.0,796.1482075976458,8.584344162924735,10842.14365335564,0.5438567974480363,0.3394558790661763,0.1993349181515872,0.11674827803401264,18.72498869895935
ALG_006_EXP_001-PatchMatchBilateralRGB_eucledian_distance_norm,50,-20,-1,components.matchers.NumbaPatchMatcherBAW_RGB,maclean_et_al,middlebury,teddy,..\..\experiments\disparities\ALG_006_EXP_001-PatchMatchBilateralRGB_eucledian_distance_norm\ALG_006_EXP_001-PatchMatchBilateralRGB_eucledian_distance_norm_0017.png,450x375,None,3x5,bilateral_gamma_s_90_gamma_c_8,True,3194894.0,2263.5144305206118,19.322709018772983,19345.762585124423,0.5840611089607122,0.3998996032514031,0.27878241726340236,0.20504523901683763,18.72498869895935
