experiment_id,match,gap,egap,algo,init_method,dataset,scene,image_filename,img_res,preprocessing_method,kernel_size,kernel_spec,are_occlusions_errors,abs_error,mse,avg,eucledian,bad1,bad2,bad4,bad8,runtime
ALG_006_EXP_001-PatchMatchBilateralRGB_max_abs_channel,50,-20,-1,components.matchers.NumbaPatchMatcherBAW_RGB,maclean_et_al,middlebury,teddy,..\..\experiments\disparities\ALG_006_EXP_001-PatchMatchBilateralRGB_max_abs_channel\ALG_006_EXP_001-PatchMatchBilateralRGB_max_abs_channel_0001.png,450x375,None,3x5,bilateral_gamma_s_90_gamma_c_8,False,2955123.0,2240.6497958022633,20.014243046101956,18188.847764495695,0.5236063419821064,0.342273333739697,0.26640523938205635,0.23345591970254181,130.7430555820465
ALG_006_EXP_001-PatchMatchBilateralRGB_max_abs_channel,50,-20,-1,components.matchers.NumbaPatchMatcherBAW_RGB,maclean_et_al,middlebury,teddy,..\..\experiments\disparities\ALG_006_EXP_001-PatchMatchBilateralRGB_max_abs_channel\ALG_006_EXP_001-PatchMatchBilateralRGB_max_abs_channel_0001.png,450x375,None,3x5,bilateral_gamma_s_90_gamma_c_8,True,4889284.0,3556.8001378943295,29.57037449196826,24250.681681140428,0.5684451809560673,0.4048771047029224,0.3388148345268047,0.30919779369072964,130.7430555820465
ALG_006_EXP_001-PatchMatchBilateralRGB_max_abs_channel,50,-20,-1,components.matchers.NumbaPatchMatcherBAW_RGB,maclean_et_al,middlebury,cones,..\..\experiments\disparities\ALG_006_EXP_001-PatchMatchBilateralRGB_max_abs_channel\ALG_006_EXP_001-PatchMatchBilateralRGB_max_abs_channel_0002.png,450x375,None,3x5,bilateral_gamma_s_90_gamma_c_8,False,1811928.0,1578.8629156649945,12.589302836179703,15074.462643822499,0.36274891263566,0.18048163639648152,0.13250559315203647,0.11876241957672692,20.524940013885498
ALG_006_EXP_001-PatchMatchBilateralRGB_max_abs_channel,50,-20,-1,components.matchers.NumbaPatchMatcherBAW_RGB,maclean_et_al,middlebury,cones,..\..\experiments\disparities\ALG_006_EXP_001-PatchMatchBilateralRGB_max_abs_channel\ALG_006_EXP_001-PatchMatchBilateralRGB_max_abs_channel_0002.png,450x375,None,3x5,bilateral_gamma_s_90_gamma_c_8,True,4183952.0,3755.018815706492,25.61796707098291,24764.35801711807,0.43680849370258573,0.2740186503878864,0.23108479619889666,0.21723477078881467,20.524940013885498
ALG_006_EXP_001-PatchMatchBilateralRGB_max_abs_channel,50,-20,-1,components.matchers.NumbaPatchMatcherBAW_RGB,maclean_et_al,middlebury,teddy,..\..\experiments\disparities\ALG_006_EXP_001-PatchMatchBilateralRGB_max_abs_channel\ALG_006_EXP_001-PatchMatchBilateralRGB_max_abs_channel_0003.png,450x375,None,7x3,bilateral_gamma_s_90_gamma_c_8,False,2746811.0,2195.995902499814,18.60340261833648,18006.69295012274,0.4972062498730114,0.30828778674035395,0.23794623808846538,0.20605346391152107,21.805169820785522
ALG_006_EXP_001-PatchMatchBilateralRGB_max_abs_channel,50,-20,-1,components.matchers.NumbaPatchMatcherBAW_RGB,maclean_et_al,middlebury,teddy,..\..\experiments\disparities\ALG_006_EXP_001-PatchMatchBilateralRGB_max_abs_channel\ALG_006_EXP_001-PatchMatchBilateralRGB_max_abs_channel_0003.png,450x375,None,7x3,bilateral_gamma_s_90_gamma_c_8,True,4681404.0,3519.1256168956843,28.31311689568415,24121.905107184215,0.5451301528933618,0.37475808012386297,0.31309875169343915,0.28432843042384365,21.805169820785522
ALG_006_EXP_001-PatchMatchBilateralRGB_max_abs_channel,50,-20,-1,components.matchers.NumbaPatchMatcherBAW_RGB,maclean_et_al,middlebury,cones,..\..\experiments\disparities\ALG_006_EXP_001-PatchMatchBilateralRGB_max_abs_channel\ALG_006_EXP_001-PatchMatchBilateralRGB_max_abs_channel_0004.png,450x375,None,7x3,bilateral_gamma_s_90_gamma_c_8,False,1590000.0,1346.8177813598654,11.047343773883801,13922.718700024072,0.3435168072481692,0.15739338271055958,0.11129330350318914,0.10069758070119367,24.023229837417603
ALG_006_EXP_001-PatchMatchBilateralRGB_max_abs_channel,50,-20,-1,components.matchers.NumbaPatchMatcherBAW_RGB,maclean_et_al,middlebury,cones,..\..\experiments\disparities\ALG_006_EXP_001-PatchMatchBilateralRGB_max_abs_channel\ALG_006_EXP_001-PatchMatchBilateralRGB_max_abs_channel_0004.png,450x375,None,7x3,bilateral_gamma_s_90_gamma_c_8,True,3967122.0,3556.5227006937257,24.290336209060683,24100.930355486278,0.41945616301639105,0.2529925729085666,0.21176088806705812,0.20083761426883254,24.023229837417603
ALG_006_EXP_001-PatchMatchBilateralRGB_max_abs_channel,50,-20,-1,components.matchers.NumbaPatchMatcherBAW_RGB,maclean_et_al,middlebury,teddy,..\..\experiments\disparities\ALG_006_EXP_001-PatchMatchBilateralRGB_max_abs_channel\ALG_006_EXP_001-PatchMatchBilateralRGB_max_abs_channel_0005.png,450x375,None,5x7,bilateral_gamma_s_90_gamma_c_8,False,3080431.0,2412.18467196294,20.86291999376909,18872.240963913107,0.5075752957988771,0.3225917873905358,0.25211478418703565,0.22467169203053144,23.838526964187622
ALG_006_EXP_001-PatchMatchBilateralRGB_max_abs_channel,50,-20,-1,components.matchers.NumbaPatchMatcherBAW_RGB,maclean_et_al,middlebury,teddy,..\..\experiments\disparities\ALG_006_EXP_001-PatchMatchBilateralRGB_max_abs_channel\ALG_006_EXP_001-PatchMatchBilateralRGB_max_abs_channel_0005.png,450x375,None,5x7,bilateral_gamma_s_90_gamma_c_8,True,5022292.0,3719.9614016837622,30.37480646409909,24800.67132155902,0.5542263402361138,0.3874165376427327,0.32620476098316237,0.3014079736791175,23.838526964187622
