experiment_id,match,gap,egap,algo,init_method,dataset,scene,image_filename,img_res,preprocessing_method,kernel_size,kernel_spec,are_occlusions_errors,abs_error,mse,avg,eucledian,bad1,bad2,bad4,bad8,runtime
ALG_005_EXP_001-PatchMatch-MacLean_et_al-Numba,0,-20,-1,components.matchers.NumbaPatchMatcher,maclean_et_al,middlebury,teddy,..\..\experiments\disparities\ALG_005_EXP_001-PatchMatch-MacLean_et_al-Numba\ALG_005_EXP_001-PatchMatch-MacLean_et_al-Numba_0001.png,450x375,None,1x1,None,False,12834593.0,11524.224603964754,86.9252019966001,41250.009539392835,0.9271931785087808,0.8813621309710059,0.8078577185389872,0.7545224888419313,43.741188049316406
ALG_005_EXP_001-PatchMatch-MacLean_et_al-Numba,0,-20,-1,components.matchers.NumbaPatchMatcher,maclean_et_al,middlebury,teddy,..\..\experiments\disparities\ALG_005_EXP_001-PatchMatch-MacLean_et_al-Numba\ALG_005_EXP_001-PatchMatch-MacLean_et_al-Numba_0001.png,450x375,None,1x1,None,True,15050902.0,12107.391922295335,91.02780868976195,44742.425168960166,0.9349719372943681,0.8940028062705632,0.8283276078962648,0.7805907683375266,43.741188049316406
ALG_005_EXP_001-PatchMatch-MacLean_et_al-Numba,0,-20,-1,components.matchers.NumbaPatchMatcher,maclean_et_al,middlebury,cones,..\..\experiments\disparities\ALG_005_EXP_001-PatchMatch-MacLean_et_al-Numba\ALG_005_EXP_001-PatchMatch-MacLean_et_al-Numba_0002.png,450x375,None,1x1,None,False,18523668.0,20349.605547295138,128.70272223225825,54118.7336141562,0.9853952725706265,0.9710198296346734,0.9640023345330239,0.9588677514834012,26.133711338043213
ALG_005_EXP_001-PatchMatch-MacLean_et_al-Numba,0,-20,-1,components.matchers.NumbaPatchMatcher,maclean_et_al,middlebury,cones,..\..\experiments\disparities\ALG_005_EXP_001-PatchMatch-MacLean_et_al-Numba\ALG_005_EXP_001-PatchMatch-MacLean_et_al-Numba_0002.png,450x375,None,1x1,None,True,21259788.0,20628.807293611968,130.17179664586916,58044.09906269542,0.9871173945787743,0.9744307223198486,0.9682465818847545,0.9636850129499575,26.133711338043213
ALG_005_EXP_001-PatchMatch-MacLean_et_al-Numba,0,-20,-1,components.matchers.NumbaPatchMatcher,maclean_et_al,middlebury,teddy,..\..\experiments\disparities\ALG_005_EXP_001-PatchMatch-MacLean_et_al-Numba\ALG_005_EXP_001-PatchMatch-MacLean_et_al-Numba_0003.png,450x375,None,3x3,None,False,12846063.0,11157.011161455053,87.00288518194932,40587.483969815126,0.9040710865486857,0.854799493399977,0.7975428544337662,0.7592904890586586,29.224472522735596
ALG_005_EXP_001-PatchMatch-MacLean_et_al-Numba,0,-20,-1,components.matchers.NumbaPatchMatcher,maclean_et_al,middlebury,teddy,..\..\experiments\disparities\ALG_005_EXP_001-PatchMatch-MacLean_et_al-Numba\ALG_005_EXP_001-PatchMatch-MacLean_et_al-Numba_0003.png,450x375,None,3x3,None,True,15060286.0,11764.789106347978,91.0845630927037,44104.84429175553,0.9143180278691697,0.8703188503967486,0.8191769885813819,0.7848848461389588,29.224472522735596
ALG_005_EXP_001-PatchMatch-MacLean_et_al-Numba,0,-20,-1,components.matchers.NumbaPatchMatcher,maclean_et_al,middlebury,cones,..\..\experiments\disparities\ALG_005_EXP_001-PatchMatch-MacLean_et_al-Numba\ALG_005_EXP_001-PatchMatch-MacLean_et_al-Numba_0004.png,450x375,None,3x3,None,False,18469170.0,19534.612787126716,128.32406931339716,53023.944402505556,0.9804830259994719,0.9655447938523963,0.9624946152884121,0.9622653307949919,31.455905199050903
ALG_005_EXP_001-PatchMatch-MacLean_et_al-Numba,0,-20,-1,components.matchers.NumbaPatchMatcher,maclean_et_al,middlebury,cones,..\..\experiments\disparities\ALG_005_EXP_001-PatchMatch-MacLean_et_al-Numba\ALG_005_EXP_001-PatchMatch-MacLean_et_al-Numba_0004.png,450x375,None,3x3,None,True,21217934.0,19919.01472560173,129.9155283154034,57036.77238413829,0.9828007420968522,0.9696364827548203,0.966948524684517,0.9667464686108951,31.455905199050903
ALG_005_EXP_001-PatchMatch-MacLean_et_al-Numba,0,-20,-1,components.matchers.NumbaPatchMatcher,maclean_et_al,middlebury,teddy,..\..\experiments\disparities\ALG_005_EXP_001-PatchMatch-MacLean_et_al-Numba\ALG_005_EXP_001-PatchMatch-MacLean_et_al-Numba_0005.png,450x375,None,5x5,None,False,12777537.0,11013.717258941693,86.5387772517626,40326.001128304306,0.9025946319361197,0.8517179023508138,0.7922533541933343,0.7531340796879127,41.04016184806824
ALG_005_EXP_001-PatchMatch-MacLean_et_al-Numba,0,-20,-1,components.matchers.NumbaPatchMatcher,maclean_et_al,middlebury,teddy,..\..\experiments\disparities\ALG_005_EXP_001-PatchMatch-MacLean_et_al-Numba\ALG_005_EXP_001-PatchMatch-MacLean_et_al-Numba_0005.png,450x375,None,5x5,None,True,14994744.0,11639.638680568996,90.68816527965937,43869.6297910069,0.9129814205535127,0.8675307238242694,0.8143869750338688,0.7794476969227792,41.04016184806824
